Bucket 0 [0.]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148
Bucket 69 [0.132812->0.134766]	447:42656	449:1091	761:33260	966:25567	1070:24982	1090:20637	1559:67751	1741:48394	1755:70897	1764:42403
Bucket 70 [0.134766->0.136719]	439:6067	797:1268	843:68397	873:59439	873:59454	873:59456	873:59523	1057:36835	1070:24799	1078:63307
Bucket 71 [0.136719->0.138672]	439:6026	542:48519	825:33350	846:58046	873:59475	893:53954	893:54002	896:43032	896:43080	1070:24719
Bucket 72 [0.138672->0.140625]	106:7652	144:23265	439:6075	447:42777	449:1212	595:15203	824:3306	825:33894	1057:37379	1057:37527
Bucket 73 [0.140625->0.142578]	752:66686	824:3850	824:6077	825:33990	825:34042	843:68713	963:36377	1057:37475	1057:39606	1070:24652
Bucket 74 [0.142578->0.144531]	824:3998	825:33933	825:36121	1057:37295	1078:63890	1090:20652	1519:65391	1527:5701	1545:47243	1559:67700
Bucket 75 [0.144531->0.146484]	439:6196	788:34474	788:34477	824:3889	824:3946	825:33810	843:68785	843:68791	843:68932	893:53918
Bucket 76 [0.146484->0.148438]	799:61330	825:33807	843:68730	843:68738	843:68743	843:68758	1057:37212	1057:37418	1078:63684	1391:22848
Bucket 77 [0.148438->0.150391]	788:34572	797:1282	797:1284	824:3763	824:3766	825:33727	826:64032	843:68657	843:68663	869:40425
Bucket 78 [0.150391->0.152344]	797:1260	825:33670	825:33721	832:41005	869:40341	869:40377	972:3962	1057:37145	1057:37171	1078:63643
Bucket 79 [0.152344->0.154297]	824:3626	824:3677	824:3683	825:33660	825:33686	869:40356	869:40358	1527:5206	1588:39910	1801:59144
Bucket 80 [0.154297->0.15625]	539:59858	539:59862	539:59863	758:44395	761:33263	797:1265	799:61312	824:3616	846:57762	846:58097
Bucket 81 [0.15625->0.158203]	824:3642	825:33693	825:33706	846:58058	862:32221	862:32236	862:32238	862:32257	1070:24675	1070:24683
Bucket 82 [0.158203->0.160156]	599:33882	824:3649	824:3662	846:58157	1541:26116	1549:67057	1588:39701	1750:19636	1755:70783	1774:43868
Bucket 83 [0.160156->0.162109]	788:34498	788:34573	843:68177	1070:24602	1070:24608	1070:24688	1170:9184	1541:26218	1554:17321	1605:51319
Bucket 84 [0.162109->0.164062]	607:71071	752:66682	825:33666	826:63537	1057:37151	1078:63623	1090:20633	1524:15686	1527:5173	1605:51461
Bucket 85 [0.164062->0.166016]	752:66689	826:63506	1083:11760	1090:20632	1103:8362	1170:9799	1524:15687	1554:17039	1554:17376	1562:57664
Bucket 86 [0.166016->0.167969]	599:33888	788:34472	824:3622	833:71053	1078:63842	1524:15690	1605:51509	1760:21489	1798:68654	1831:64973
Bucket 87 [0.167969->0.169922]	788:34476	826:63916	979:12467	1057:37196	1057:37223	1057:37229	1078:63653	1170:9236	1554:17147	1554:17487
Bucket 88 [0.169922->0.171875]	283:9004	283:9010	824:3841	825:33711	825:33738	825:33744	826:63504	843:68168	843:68183	846:57792
Bucket 89 [0.171875->0.173828]	558:21125	748:47815	788:34497	797:1351	801:20203	825:33683	825:33691	835:29988	972:3881	1057:37095
Bucket 90 [0.173828->0.175781]	607:71065	794:12337	802:50258	824:3572	824:3652	825:33610	846:58089	846:58155	886:45799	1170:9413
Bucket 91 [0.175781->0.177734]	886:45751	912:18562	912:18594	912:18624	964:66305	979:12362	986:20839	989:10066	1081:52483	1170:9107
Bucket 92 [0.177734->0.179688]	202:27134	825:32971	826:63707	846:57988	1081:52474	1170:9239	1395:42961	1549:67623	1614:21879	1614:21881
Bucket 93 [0.179688->0.181641]	797:1277	912:18527	912:18528	912:18623	912:18625	912:18627	991:70269	991:70317	1409:62947	1458:32951
Bucket 94 [0.181641->0.183594]	596:45279	824:2927	833:71006	852:35072	912:18593	912:18598	912:18599	912:18622	1170:9410	1452:52993
Bucket 95 [0.183594->0.185547]	602:22494	748:47809	833:71007	833:71082	846:58066	885:15653	885:15668	885:15670	885:15737	963:36272
Bucket 96 [0.185547->0.1875]	542:48526	825:33130	885:15689	886:45715	886:45730	886:45732	966:25486	983:31669	1190:6839	1545:46937
Bucket 97 [0.1875->0.189453]	744:28953	824:3086	846:57790	846:57981	1057:36615	1070:24128	1771:53705	1798:68426	1833:25182	1877:55239
Bucket 98 [0.189453->0.191406]	595:15303	846:57954	846:57991	846:58377	893:53881	896:42959	966:25462	972:3857	1170:9519	1377:3478
Bucket 99 [0.191406->0.193359]	846:57692	846:57709	846:57951	872:29465	900:62229	974:64033	1170:9480	1170:9511	1237:11871	1258:40233
Bucket 100 [0.193359->0.195312]	797:1276	846:57964	900:62145	900:62160	900:62162	900:62181	912:18641	974:64057	983:31774	1217:13886
Bucket 101 [0.195312->0.197266]	596:45286	760:3233	808:28129	872:29417	973:34050	974:64100	1170:9405	1337:4856	1341:24842	1344:14636
Bucket 102 [0.197266->0.199219]	36:55708	542:48530	558:21117	797:1287	802:50240	805:39173	811:17054	812:47112	846:57740	846:57950
Bucket 103 [0.199219->0.201172]	400:56323	596:45283	744:28947	747:17794	825:33136	846:57245	1083:11740	1605:51284	1605:51288	1605:51318
Bucket 104 [0.201172->0.203125]	824:3077	846:58003	859:43185	903:51270	1057:36621	1170:9577	1545:46843	1545:46845	1554:17333	1605:51201
Bucket 105 [0.203125->0.205078]	229:20710	613:48314	797:1267	797:1363	797:1395	848:16053	848:16068	848:16070	848:16137	849:46123
Bucket 106 [0.205078->0.207031]	846:57730	846:57814	846:57847	846:57922	846:57923	848:16089	855:24085	865:21210	903:51234	903:51249
Bucket 107 [0.207031->0.208984]	295:63010	797:1424	846:57817	872:29381	872:29396	872:29398	912:18781	959:17016	960:47100	964:66378
Bucket 108 [0.208984->0.210938]	295:63004	317:9890	613:48320	747:17788	752:66683	797:1289	846:57641	846:57784	895:13015	912:18686
Bucket 109 [0.210938->0.212891]	542:48419	542:48517	596:45277	797:1426	801:20204	895:12967	902:21169	902:21170	902:21171	930:54353
Bucket 110 [0.212891->0.214844]	602:22492	797:1250	797:1394	797:1399	797:1400	797:1423	797:1428	824:2914	846:57514	846:57834
Bucket 111 [0.214844->0.216797]	797:1328	797:1329	797:1425	797:1433	797:1438	797:1442	797:1579	797:1582	846:57760	888:4682
Bucket 112 [0.216797->0.21875]	797:1487	797:1491	808:28124	812:47107	843:68740	843:68753	846:57685	889:34818	895:12931	895:12946
Bucket 113 [0.21875->0.220703]	542:48522	602:22501	761:33265	797:1432	805:39225	852:35100	967:55562	969:14671	970:44758	977:53240
Bucket 114 [0.220703->0.222656]	595:15310	788:34507	797:1283	799:61325	835:29951	835:29958	843:68941	912:18690	967:55537	967:55563
Bucket 115 [0.222656->0.224609]	542:48523	596:45290	602:22498	788:34514	843:71168	1016:14456	1016:14593	1016:14596	1170:9376	1192:67145
Bucket 116 [0.224609->0.226562]	463:14393	788:34493	797:1279	888:4803	889:34782	964:66379	964:66441	964:66533	964:66536	967:55541
Bucket 117 [0.226562->0.228516]	546:66987	552:44042	554:2613	595:15305	596:45179	602:22505	752:66691	788:34464	794:12371	841:7965
Bucket 118 [0.228516->0.230469]	532:52922	659:9600	690:28150	694:46910	696:5665	700:24437	701:54444	703:13208	704:43216	706:1984
Bucket 119 [0.230469->0.232422]	402:14682	546:66995	794:12319	842:38014	912:18632	912:18637	964:66386	986:20920	989:10147	991:70325
Bucket 120 [0.232422->0.234375]	519:68990	552:44050	554:2621	888:4719	1016:14447	1016:14452	1554:16971	1554:17396	1605:51188	1605:51189
Bucket 121 [0.234375->0.236328]	811:17106	878:7439	888:4734	888:4736	912:18631	959:16951	960:47035	991:70295	991:70300	991:70326
Bucket 122 [0.236328->0.238281]	399:26390	794:12296	878:7560	973:33945	991:70301	991:70324	1016:14446	1084:41865	1084:41870	1170:9386
Bucket 123 [0.238281->0.240234]	846:57726	846:57983	991:70333	1170:8936	1401:22702	1401:22703	1544:16613	1735:67464	1840:36736	1863:31928
Bucket 124 [0.240234->0.242188]	797:1278	870:70482	878:7512	973:33969	1084:41864	1100:19031	1174:28976	1735:67845	1735:67934	1857:50442
Bucket 125 [0.242188->0.244141]	761:33261	963:36296	991:70327	991:70329	1158:50630	1614:21851	1614:21852	1808:70717	1983:62294	1983:62369
Bucket 126 [0.244141->0.246094]	833:71002	870:70434	977:53264	977:53345	1161:40166	1544:16404	1735:67509	1808:70686	1833:25819	1877:55251
Bucket 127 [0.246094->0.248047]	797:1271	852:35038	878:7476	878:7491	878:7493	912:18683	963:36211	1735:67471	1735:67626	1735:67701
Bucket 128 [0.248047->0.25]	1449:63490	2036:70023	2036:70247	2199:15716	2223:45714	2233:49540	2345:58963	2404:57902	2416:24753	2416:24968
Bucket 129 [0.25->0.251953]	376:48679	595:15314	797:1266	835:29954	843:68720	870:70361	870:70398	870:70413	870:70415	900:62245
Bucket 130 [0.251953->0.253906]	521:27493	752:66687	788:34544	876:48569	878:7495	900:62246	900:62251	991:70483	1548:36818	1808:70694
Bucket 131 [0.253906->0.255859]	539:60013	866:51306	866:51321	866:51323	866:51390	870:70498	882:26676	883:56616	883:56737	991:70388
Bucket 132 [0.255859->0.257812]	329:64149	861:2266	876:48485	876:48500	876:48502	876:48521	991:70392	1808:70582	1808:70783	1863:31875
Bucket 133 [0.257812->0.259766]	477:27915	595:15195	797:1263	802:50253	849:46104	849:46119	849:46121	849:46188	866:51342	869:40493
Bucket 134 [0.259766->0.261719]	758:44398	797:1251	797:1270	802:50241	870:70504	1554:17070	1808:70390	1851:69804	1909:22773	2031:16470
Bucket 135 [0.261719->0.263672]	849:46140	852:35035	852:35042	861:2250	912:18531	912:18546	912:18548	1545:46725	1549:67391	1735:67571
Bucket 136 [0.263672->0.265625]	797:1275	802:50292	805:39186	842:37975	861:2267	861:2272	868:10384	868:10385	868:10390	966:25400
Bucket 137 [0.265625->0.267578]	788:34469	797:1295	852:35101	861:2202	872:29344	912:18567	966:25397	1735:67782	1833:25168	1920:56921
Bucket 138 [0.267578->0.269531]	283:8977	517:9202	797:1274	882:26592	882:26607	882:26609	889:34745	1001:68087	1023:23063	1735:67593
Bucket 139 [0.269531->0.271484]	797:1259	861:2166	861:2181	861:2183	883:56653	883:56668	883:56670	1001:68083	1001:68085	1001:68088
Bucket 140 [0.271484->0.273438]	464:44422	464:44423	797:1484	849:46067	870:70508	873:59402	912:18615	972:3792	994:59493	994:59526
Bucket 141 [0.273438->0.275391]	546:66904	554:2530	602:22394	758:44402	794:12297	801:20216	868:10394	876:48504	967:55552	969:14661
Bucket 142 [0.275391->0.277344]	514:20632	514:20633	517:9062	552:43959	862:32184	869:40441	870:70550	1735:67505	1798:68688	1857:50631
Bucket 143 [0.277344->0.279297]	558:21034	788:34510	811:17067	812:47094	866:51406	870:70337	1554:17060	1808:70354	1906:31980	2012:40828
Bucket 144 [0.279297->0.28125]	532:53029	595:15191	755:55537	808:28111	861:2259	861:2276	866:51412	870:70557	900:62255	912:18550
Bucket 145 [0.28125->0.283203]	861:2325	862:32240	866:51407	886:45734	900:62300	900:62392	900:62395	1549:67563	1554:17114	1863:31687
Bucket 146 [0.283203->0.285156]	389:31644	599:33895	794:12301	794:12304	805:39174	869:40442	869:40447	870:70553	900:62304	1016:14498
Bucket 147 [0.285156->0.287109]	799:61313	835:30016	861:2321	870:70645	883:56672	1949:32900	1988:13537	1988:13538	1988:13539	1988:13540
Bucket 148 [0.287109->0.289062]	788:34492	868:10377	870:70491	870:70648	880:67655	991:70385	1084:41916	1170:9152	1798:68517	1909:22523
Bucket 149 [0.289062->0.291016]	595:15312	752:66680	794:12399	833:71081	835:29941	835:30017	861:2413	861:2416	964:66438	986:20972
Bucket 150 [0.291016->0.292969]	740:10114	802:50320	808:28112	812:47095	835:29942	841:7926	880:67622	900:62238	1104:38508	1118:56497
Bucket 151 [0.292969->0.294922]	471:51084	613:48318	799:61364	866:51416	868:10443	895:12950	900:62297	973:34012	1118:56499	1120:15802
Bucket 152 [0.294922->0.296875]	868:10531	868:10534	889:34801	1111:47509	1113:6805	1113:6807	1123:5245	1128:54957	1128:54959	1134:33868
Bucket 153 [0.296875->0.298828]	802:50225	811:17055	866:51269	876:48448	895:12894	1111:47511	1135:64006	1925:6606	2233:49820	2396:13678
Bucket 154 [0.298828->0.300781]	244:62441	595:15297	802:50222	859:43157	868:10439	869:40496	869:40500	882:26555	885:15753	946:30320
Bucket 155 [0.300781->0.302734]	861:2129	866:51399	903:51334	1949:32770	2113:3724	2180:38275	2416:25005	2423:37567	2423:37663	2423:37798
Bucket 156 [0.302734->0.304688]	542:48411	794:12334	794:12341	799:61290	861:2260	870:70429	870:70461	903:51335	903:51340	963:36339
Bucket 157 [0.304688->0.306641]	595:15298	870:70490	870:70492	1863:31717	1952:23729	1969:38322	2416:24985	2423:38337	2557:31182	2557:31393
Bucket 158 [0.306641->0.308594]	542:48513	833:71016	861:2197	861:2229	862:32153	866:51465	869:40588	869:40591	885:15759	900:62239
Bucket 159 [0.308594->0.310547]	517:9067	517:9071	517:9072	542:48407	542:48511	728:61831	833:71023	861:2258	866:51553	868:10247
Bucket 160 [0.310547->0.3125]	532:53046	758:44394	788:34505	833:71014	848:16153	866:51461	866:51556	868:10378	870:70466	1614:22044
Bucket 161 [0.3125->0.314453]	596:45273	848:16159	861:2162	861:2163	861:2234	868:10315	868:10347	1808:70475	1808:70550	1808:70551
Bucket 162 [0.314453->0.316406]	464:44346	532:53033	848:16154	849:46054	849:46056	861:2228	861:2233	861:2257	868:10376	870:70494
Bucket 163 [0.316406->0.318359]	202:27098	782:56658	799:61289	972:3795	1170:9114	1808:70412	1846:18002	1857:50472	1857:50634	1940:60496
Bucket 164 [0.318359->0.320312]	595:15309	799:61392	861:2262	900:62141	900:62142	900:62237	1614:22059	1846:17916	1846:18005	1863:31983
Bucket 165 [0.320312->0.322266]	607:70967	794:12325	794:12400	835:29949	868:10280	868:10281	868:10284	868:10299	868:10301	868:10368
Bucket 166 [0.322266->0.324219]	495:59878	794:12299	794:12332	799:61297	831:10913	868:10223	868:10351	868:10352	868:10375	869:40451
Bucket 167 [0.324219->0.326172]	595:15295	799:61294	801:20283	866:51400	868:10320	868:10346	903:51389	903:51393	972:3924	1833:25445
Bucket 168 [0.326172->0.328125]	517:9075	532:52935	849:46038	869:40434	870:70343	900:62241	1808:70368	1857:50663	1906:32066	1970:68851
Bucket 169 [0.328125->0.330078]	797:1264	866:51369	868:10380	873:59540	1798:68857	1857:51057	1940:60801	2045:41157	2046:71567	2048:32079
Bucket 170 [0.330078->0.332031]	532:53039	794:12295	801:20255	866:51337	866:51398	868:10436	869:40435	872:29474	873:59539	873:59545
Bucket 171 [0.332031->0.333984]	532:53044	748:47822	801:20185	801:20188	802:50321	872:29487	885:15812	1409:63416	1906:32043	1985:23114
Bucket 172 [0.333984->0.335938]	870:70349	872:29482	885:15808	963:36206	966:25401	1170:9256	1170:9257	1170:9258	1170:9259	1170:9260
Bucket 173 [0.335938->0.337891]	866:51302	866:51303	866:51368	866:51373	866:51374	866:51397	1170:9182	1395:43430	1411:23099	1545:47011
Bucket 174 [0.337891->0.339844]	372:30523	579:42272	592:26599	602:22488	744:28943	794:12303	801:20284	861:2116	861:2118	870:70341
Bucket 175 [0.339844->0.341797]	612:18236	802:50246	866:51402	2190:42212	2396:13616	2557:32000	2560:22159	2723:15263	2723:15576	2802:39674
Bucket 176 [0.341797->0.34375]	866:51458	872:29540	885:15763	963:36210	974:63971	974:63972	1906:32132	1985:23038	1986:53430	2210:50193
Bucket 177 [0.34375->0.345703]	794:12324	882:26611	903:51327	903:51344	966:25529	1083:11731	1846:18185	1969:38603	2080:2467	2080:2468
Bucket 178 [0.345703->0.347656]	592:26610	592:26620	592:26622	592:26627	592:26628	592:26634	592:26638	592:26641	592:26642	592:26644
Bucket 179 [0.347656->0.349609]	592:26611	592:26612	592:26614	592:26615	592:26616	592:26617	592:26618	592:26619	592:26621	592:26623
Bucket 180 [0.349609->0.351562]	517:9119	542:48514	546:67007	592:26695	848:16163	848:16205	848:16208	849:46204	849:46205	869:40304
Bucket 181 [0.351562->0.353516]	552:44062	554:2633	595:15306	868:10235	869:40404	869:40433	876:48586	1464:12970	1731:46964	1808:70462
Bucket 182 [0.353516->0.355469]	744:28960	862:32321	872:29628	872:29631	885:15746	886:45870	886:45874	963:36208	1808:70388	1920:55888
Bucket 183 [0.355469->0.357422]	468:62683	539:59910	801:20183	868:10226	872:29491	882:26698	1066:4752	1731:46822	2223:45328	2423:38570
Bucket 184 [0.357422->0.359375]	596:45282	599:33878	802:50245	848:16146	861:2318	869:40337	869:40338	870:70334	882:26693	885:15805
Bucket 185 [0.359375->0.361328]	617:66896	802:50224	836:61039	838:19978	873:59458	873:59594	873:59686	873:59689	966:25398	1857:50494
Bucket 186 [0.361328->0.363281]	542:48415	595:15301	849:46035	862:32327	868:10219	868:10234	868:10236	869:40403	869:40408	869:40409
Bucket 187 [0.363281->0.365234]	836:61005	838:19944	849:46050	862:32322	873:59598	885:15616	1731:46765	1755:70778	1755:70798	1851:69437
Bucket 188 [0.365234->0.367188]	788:34470	801:20208	836:60987	836:61033	838:19926	838:19972	849:46351	849:46354	869:40437	873:59549
Bucket 189 [0.367188->0.369141]	532:53030	542:48521	836:60967	836:60970	836:60986	836:61023	838:19906	838:19909	838:19925	838:19962
Bucket 190 [0.369141->0.371094]	485:64642	532:53027	595:15307	748:47818	836:60951	838:19890	849:46259	866:51245	868:10241	870:70336
Bucket 191 [0.371094->0.373047]	542:48528	595:15193	744:28956	801:20187	849:46263	872:29533	903:51197	903:51265	972:3796	1968:8016
Bucket 192 [0.373047->0.375]	794:12320	811:17134	862:32376	863:62299	872:29475	903:51326	979:12304	1906:31769	1953:54149	2133:10922
Bucket 193 [0.375->0.376953]	764:22133	836:60915	838:19854	848:16147	862:32380	900:62164	903:51386	1940:60859	2003:68492	2113:3781
