Bucket 0 [0.]	0:110
Bucket 395 [0.769531->0.771484]	599:33879
Bucket 396 [0.771484->0.773438]	1190:6190
Bucket 397 [0.773438->0.775391]	755:55544
Bucket 398 [0.775391->0.777344]	1190:6197
Bucket 399 [0.777344->0.779297]	613:48316
Bucket 400 [0.779297->0.78125]	508:43648
Bucket 401 [0.78125->0.783203]	1097:29561
Bucket 402 [0.783203->0.785156]	1098:59731
Bucket 403 [0.785156->0.787109]	943:41661
Bucket 404 [0.787109->0.789062]	1054:47361
Bucket 405 [0.789062->0.791016]	599:33890
Bucket 406 [0.791016->0.792969]	1054:47365
Bucket 407 [0.792969->0.794922]	1009:5871
Bucket 408 [0.794922->0.796875]	825:33121
Bucket 409 [0.796875->0.798828]	531:22961
Bucket 410 [0.798828->0.800781]	885:15608
Bucket 411 [0.800781->0.802734]	439:5968
Bucket 412 [0.802734->0.804688]	439:5967
Bucket 413 [0.804688->0.806641]	959:17179
Bucket 414 [0.806641->0.808594]	599:33876
Bucket 415 [0.808594->0.810547]	1061:56154
Bucket 416 [0.810547->0.8125]	1060:26128
Bucket 417 [0.8125->0.814453]	1060:26131
Bucket 418 [0.814453->0.816406]	744:28958
Bucket 419 [0.816406->0.818359]	1195:56177
Bucket 420 [0.818359->0.820312]	889:34733
Bucket 421 [0.820312->0.822266]	531:22969
Bucket 422 [0.822266->0.824219]	1195:56106
Bucket 423 [0.824219->0.826172]	1195:56153
Bucket 424 [0.826172->0.828125]	1195:56159
Bucket 425 [0.828125->0.830078]	1101:49091
Bucket 426 [0.830078->0.832031]	959:17042
Bucket 427 [0.832031->0.833984]	1097:29545
Bucket 428 [0.833984->0.835938]	589:38122
Bucket 429 [0.835938->0.837891]	1009:5805
Bucket 430 [0.837891->0.839844]	579:42384
Bucket 431 [0.839844->0.841797]	1195:56096
Bucket 432 [0.841797->0.84375]	589:38001
Bucket 433 [0.84375->0.845703]	1115:67158
Bucket 434 [0.845703->0.847656]	929:24294
Bucket 435 [0.847656->0.849609]	755:55540
Bucket 436 [0.849609->0.851562]	751:36692
Bucket 437 [0.851562->0.853516]	623:44208
Bucket 438 [0.853516->0.855469]	642:6161
Bucket 439 [0.855469->0.857422]	647:54822
Bucket 440 [0.857422->0.859375]	622:14224
Bucket 441 [0.859375->0.861328]	639:17487
Bucket 442 [0.861328->0.863281]	927:65237
Bucket 443 [0.863281->0.865234]	922:15925
Bucket 444 [0.865234->0.867188]	919:26805
Bucket 445 [0.867188->0.869141]	742:70129
Bucket 446 [0.869141->0.871094]	920:56877
Bucket 447 [0.871094->0.873047]	919:26807
Bucket 448 [0.873047->0.875]	935:2535
Bucket 449 [0.875->0.876953]	920:56879
Bucket 450 [0.876953->0.878906]	929:24253
Bucket 451 [0.878906->0.880859]	596:45171
Bucket 452 [0.880859->0.882812]	420:46000
Bucket 453 [0.882812->0.884766]	932:13430
Bucket 454 [0.884766->0.886719]	744:28944
Bucket 455 [0.886719->0.888672]	417:57680
Bucket 456 [0.888672->0.890625]	927:65196
Bucket 457 [0.890625->0.892578]	600:63873
Bucket 458 [0.892578->0.894531]	922:15920
Bucket 459 [0.894531->0.896484]	946:30291
Bucket 460 [0.896484->0.898438]	919:26800
