Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138
Bucket 27 [0.025390625->0.0263671875]	1:1511	2:1511	153:192	164:168	182:209
Bucket 28 [0.0263671875->0.02734375]	162:179	167:174	205:253	212:222	215:245
Bucket 29 [0.02734375->0.0283203125]	153:165	154:158	188:243	311:432	327:594
Bucket 30 [0.0283203125->0.029296875]	130:192	143:179	179:198	208:220	208:229
Bucket 31 [0.029296875->0.0302734375]	130:165	147:166	153:175	153:182	177:243
Bucket 32 [0.0302734375->0.03125]	12:14	13:14	130:182	159:224	171:187
Bucket 33 [0.03125->0.0322265625]	159:241	171:178	171:193	202:203	239:243
Bucket 34 [0.0322265625->0.033203125]	130:175	130:200	168:180	177:255	216:219
Bucket 35 [0.033203125->0.0341796875]	130:209	130:242	188:255	215:219	642:716
Bucket 36 [0.0341796875->0.03515625]	130:236	177:235	177:239	177:240	188:235
Bucket 37 [0.03515625->0.0361328125]	1:3	243:255	583:1215	596:600	599:642
Bucket 38 [0.0361328125->0.037109375]	2:3	188:247	205:238	205:251	238:251
Bucket 39 [0.037109375->0.0380859375]	150:226	153:200	177:247	492:523	600:812
Bucket 40 [0.0380859375->0.0390625]	153:209	165:192	235:255	239:255	240:255
Bucket 41 [0.0390625->0.0400390625]	159:171	165:175	188:257	360:384	365:580
Bucket 42 [0.0400390625->0.041015625]	10:11	153:236	153:242	177:257	260:264
Bucket 43 [0.041015625->0.0419921875]	154:181	247:255	584:620	769:781	785:1919
Bucket 44 [0.0419921875->0.04296875]	154:199	165:182	529:580	600:1384	741:1070
Bucket 45 [0.04296875->0.0439453125]	154:184	381:580	600:1399	769:839	785:1258
Bucket 46 [0.0439453125->0.044921875]	130:153	595:1298	596:1070	629:1536	665:1070
Bucket 47 [0.044921875->0.0458984375]	245:256	255:257	413:415	706:759	714:759
Bucket 48 [0.0458984375->0.046875]	154:186	413:434	415:426	415:427	600:1088
Bucket 49 [0.046875->0.0478515625]	350:415	596:812	629:794	665:812	831:985
Bucket 50 [0.0478515625->0.048828125]	343:415	350:434	352:415	353:415	355:415
Bucket 51 [0.048828125->0.0498046875]	328:415	363:434	372:434	629:3629	754:1298
Bucket 52 [0.0498046875->0.05078125]	311:415	328:434	581:1298	629:1228	629:3305
Bucket 53 [0.05078125->0.0517578125]	156:173	156:195	355:434	629:2945	629:2967
Bucket 54 [0.0517578125->0.052734375]	159:187	352:434	353:434	357:434	569:584
Bucket 55 [0.052734375->0.0537109375]	343:434	395:434	396:434	629:2250	741:1384
Bucket 56 [0.0537109375->0.0546875]	156:185	190:206	311:434	393:434	596:1384
Bucket 57 [0.0546875->0.0556640625]	12:13	239:247	240:247	586:587	587:592
Bucket 58 [0.0556640625->0.056640625]	159:178	235:247	820:3305	1022:1427	1022:1428
Bucket 59 [0.056640625->0.0576171875]	159:193	215:223	596:1399	665:1399	701:746
Bucket 60 [0.0576171875->0.05859375]	595:1544	741:1088	794:1205	974:1563	1022:1452
Bucket 61 [0.05859375->0.0595703125]	621:746	721:980	728:980	741:819	1022:1401
Bucket 62 [0.0595703125->0.060546875]	596:1088	665:1088	714:980	715:980	717:980
Bucket 63 [0.060546875->0.0615234375]	177:188	629:827	665:785	665:819	701:980
Bucket 64 [0.0615234375->0.0625]	216:223	583:1544	596:785	596:819	794:3910
Bucket 65 [0.0625->0.0634765625]	6:8	7:8	73:83	794:1233	794:1634
Bucket 66 [0.0634765625->0.064453125]	76:84	181:184	621:980	745:1544	812:1597
Bucket 67 [0.064453125->0.0654296875]	235:257	239:257	240:257	582:1544	583:1563
Bucket 68 [0.0654296875->0.06640625]	701:836	714:792	714:801	714:802	714:834
Bucket 69 [0.06640625->0.0673828125]	72:80	581:1544	581:1563	582:1563	629:2772
Bucket 70 [0.0673828125->0.068359375]	247:257	582:1298	586:638	629:3164	701:792
Bucket 71 [0.068359375->0.0693359375]	181:186	583:1297	592:638	667:714	667:715
Bucket 72 [0.0693359375->0.0703125]	621:836	701:808	745:1298	819:3270	827:2772
Bucket 73 [0.0703125->0.0712890625]	6:7	621:834	629:3099	667:701	754:1297
Bucket 74 [0.0712890625->0.072265625]	621:788	621:792	621:801	621:802	794:2952
Bucket 75 [0.072265625->0.0732421875]	175:182	621:783	621:784	621:789	621:791
Bucket 76 [0.0732421875->0.07421875]	181:199	581:1069	629:3598	754:1069	759:783
Bucket 77 [0.07421875->0.0751953125]	581:1297	582:1069	629:820	739:980	797:829
Bucket 78 [0.0751953125->0.076171875]	364:368	621:667	667:759	760:1297	820:3910
Bucket 79 [0.076171875->0.0771484375]	184:186	582:1297	629:1861	629:2651	629:2952
Bucket 80 [0.0771484375->0.078125]	79:87	794:2945	794:2967	1069:1287	1297:1362
Bucket 81 [0.078125->0.0791015625]	184:199	215:217	794:2250	1072:1920	1072:1933
Bucket 82 [0.0791015625->0.080078125]	583:1069	629:1464	745:1069	820:2772	1297:1320
Bucket 83 [0.080078125->0.0810546875]	820:3164	827:2651	1205:2945	1205:2967	1233:1861
Bucket 84 [0.0810546875->0.08203125]	114:120	827:1536	827:1634	827:2952	1072:1467
Bucket 85 [0.08203125->0.0830078125]	216:217	217:223	1072:1633	1113:1297	1215:1297
Bucket 86 [0.0830078125->0.083984375]	827:1205	1072:1561	1205:2772	1228:1861	1467:1684
Bucket 87 [0.083984375->0.0849609375]	820:1464	974:1215	1467:1685	1469:1685	1561:1685
Bucket 88 [0.0849609375->0.0859375]	820:2945	820:2967	827:3598	1205:1536	1215:1544
Bucket 89 [0.0859375->0.0869140625]	215:216	820:1536	974:1113	1205:3099	1205:3598
Bucket 90 [0.0869140625->0.087890625]	555:642	739:801	1072:1301	1298:1320	1298:1544
Bucket 91 [0.087890625->0.0888671875]	413:426	413:427	706:792	706:801	706:802
Bucket 92 [0.0888671875->0.08984375]	352:413	357:413	372:413	393:413	395:413
Bucket 93 [0.08984375->0.0908203125]	311:413	353:413	706:783	706:791	1205:2952
Bucket 94 [0.0908203125->0.091796875]	1:2	667:739	1215:1518	1301:1684	1349:1684
Bucket 95 [0.091796875->0.0927734375]	182:192	186:199	350:413	667:706	667:746
Bucket 96 [0.0927734375->0.09375]	778:829	1113:1614	1113:1666	1113:3745	1117:1298
Bucket 97 [0.09375->0.0947265625]	343:413	820:1861	820:2651	1220:1224	1467:1888
Bucket 98 [0.0947265625->0.095703125]	355:413	820:3099	933:984	1072:1349	1087:1888
Bucket 99 [0.095703125->0.0966796875]	173:185	185:195	363:413	372:426	372:427
Bucket 100 [0.0966796875->0.09765625]	328:413	350:372	594:606	820:2952	1113:1294
Bucket 101 [0.09765625->0.0986328125]	437:547	824:1097	824:1224	1113:1310	1113:1345
Bucket 102 [0.0986328125->0.099609375]	350:355	355:426	355:427	595:1563	1113:1284
Bucket 103 [0.099609375->0.1005859375]	178:187	572:606	583:1298	762:829	1072:1635
Bucket 104 [0.1005859375->0.1015625]	343:426	343:427	353:426	353:427	568:606
Bucket 105 [0.1015625->0.1025390625]	311:426	311:427	352:426	352:427	357:426
Bucket 106 [0.1025390625->0.103515625]	343:350	350:352	350:357	554:828	706:834
Bucket 107 [0.103515625->0.1044921875]	187:193	595:1215	763:829	819:1597	1097:1736
Bucket 108 [0.1044921875->0.10546875]	350:353	350:396	595:1113	746:802	746:803
Bucket 109 [0.10546875->0.1064453125]	311:350	350:393	350:395	597:1097	746:783
Bucket 110 [0.1064453125->0.107421875]	819:1617	1072:1807	1097:1562	1294:1563	1431:1563
Bucket 111 [0.107421875->0.1083984375]	1215:1320	1215:1509	1301:1526	1311:1645	1470:1581
Bucket 112 [0.1083984375->0.109375]	739:836	785:1384	1069:1518	1506:1586	1506:1587
Bucket 113 [0.109375->0.1103515625]	328:372	739:834	754:1215	782:797	819:1384
Bucket 114 [0.1103515625->0.111328125]	393:426	393:427	395:426	395:427	396:426
Bucket 115 [0.111328125->0.1123046875]	178:193	556:564	606:669	1097:1570	1113:1240
Bucket 116 [0.1123046875->0.11328125]	176:202	363:372	754:1397	1135:1546	1215:1307
Bucket 117 [0.11328125->0.1142578125]	754:1113	1093:1224	1097:1529	1113:1368	1135:1299
Bucket 118 [0.1142578125->0.115234375]	328:355	974:3745	1069:1317	1069:1330	1087:1526
Bucket 119 [0.115234375->0.1162109375]	311:363	337:364	1069:1345	1072:1928	1135:1230
Bucket 120 [0.1162109375->0.1171875]	311:328	355:363	820:1205	974:1518	1069:1284
Bucket 121 [0.1171875->0.1181640625]	582:1215	760:1397	1069:1310	1069:1614	1069:1666
Bucket 122 [0.1181640625->0.119140625]	175:192	328:343	328:352	328:357	364:378
Bucket 123 [0.119140625->0.1201171875]	328:393	328:395	328:396	760:1215	820:2250
Bucket 124 [0.1201171875->0.12109375]	328:353	581:1397	582:1397	595:1069	754:1544
Bucket 125 [0.12109375->0.1220703125]	352:363	357:363	581:1215	745:1397	762:797
Bucket 126 [0.1220703125->0.123046875]	343:363	353:363	581:1113	585:652	1097:1530
Bucket 127 [0.123046875->0.1240234375]	745:1113	760:1113	974:1431	974:1434	1069:1612
Bucket 128 [0.1240234375->0.125]	763:778	974:1362	974:1368	1072:1090	1217:1433
Bucket 129 [0.125->0.1259765625]	363:393	363:395	363:396	974:1240	974:1307
Bucket 130 [0.1259765625->0.126953125]	974:1284	974:1294	974:1320	1097:1543	1234:1518
Bucket 131 [0.126953125->0.1279296875]	640:668	782:829	824:1529	974:1310	974:1351
Bucket 132 [0.1279296875->0.12890625]	1086:1612	1097:1220	1224:1734	1234:3745	1243:1418
Bucket 133 [0.12890625->0.1298828125]	570:640	573:640	603:606	606:610	974:1317
Bucket 134 [0.1298828125->0.130859375]	316:375	317:375	376:383	754:1518	754:1666
Bucket 135 [0.130859375->0.1318359375]	316:416	317:416	754:974	1097:1305	1097:1413
Bucket 136 [0.1318359375->0.1328125]	754:3745	1224:1530	1230:1291	1234:1614	1240:1518
Bucket 137 [0.1328125->0.1337890625]	316:424	317:424	681:856	754:1614	1240:1557
Bucket 138 [0.1337890625->0.134765625]	537:539	768:782	1097:1339	1224:1341	1234:1434
Bucket 139 [0.134765625->0.1357421875]	562:616	616:764	745:974	824:1288	1053:1062
Bucket 140 [0.1357421875->0.13671875]	310:416	595:974	616:680	616:695	616:697
Bucket 141 [0.13671875->0.1376953125]	310:375	582:974	616:716	754:1434	760:3745
Bucket 142 [0.1376953125->0.138671875]	383:533	597:1625	630:716	630:764	632:716
Bucket 143 [0.138671875->0.1396484375]	75:82	102:108	310:424	316:545	317:545
Bucket 144 [0.1396484375->0.140625]	581:974	582:1518	754:1294	754:1345	777:797
Bucket 145 [0.140625->0.1416015625]	581:1518	582:1666	745:1614	745:3745	754:1284
Bucket 146 [0.1416015625->0.142578125]	531:539	581:3745	582:1614	595:1290	679:856
Bucket 147 [0.142578125->0.1435546875]	581:1666	582:3745	745:1434	768:797	1213:1550
Bucket 148 [0.1435546875->0.14453125]	582:1557	760:1557	1069:1297	1074:1612	1087:1867
Bucket 149 [0.14453125->0.1455078125]	581:1557	581:1614	582:1434	760:1431	760:1434
Bucket 150 [0.1455078125->0.146484375]	310:545	556:570	556:573	595:1362	595:1368
Bucket 151 [0.146484375->0.1474609375]	564:606	582:1431	595:1315	595:1335	745:1557
Bucket 152 [0.1474609375->0.1484375]	595:1307	595:1320	745:1351	760:1351	1087:3671
Bucket 153 [0.1484375->0.1494140625]	556:668	562:630	562:632	581:1431	581:1434
Bucket 154 [0.1494140625->0.150390625]	595:1234	613:764	760:1284	1072:1526	1090:1888
Bucket 155 [0.150390625->0.1513671875]	562:608	582:1294	582:1345	745:1284	1213:1433
Bucket 156 [0.1513671875->0.15234375]	587:638	613:680	613:716	685:856	745:1310
Bucket 157 [0.15234375->0.1533203125]	581:1351	582:1284	613:695	613:697	1117:1496
Bucket 158 [0.1533203125->0.154296875]	581:1294	581:1345	582:1310	1074:1117	1393:1736
Bucket 159 [0.154296875->0.1552734375]	381:386	562:613	687:856	690:775	746:980
Bucket 160 [0.1552734375->0.15625]	381:390	381:391	535:537	537:542	564:588
Bucket 161 [0.15625->0.1572265625]	581:1310	597:1637	608:716	754:1335	1225:1433
Bucket 162 [0.1572265625->0.158203125]	582:1317	582:1330	608:680	608:695	608:697
Bucket 163 [0.158203125->0.1591796875]	1090:1301	1117:1287	1247:1266	1266:1293	1319:1736
Bucket 164 [0.1591796875->0.16015625]	423:531	581:1317	581:1330	597:1736	1084:1113
Bucket 165 [0.16015625->0.1611328125]	556:669	595:754	754:1234	754:1240	754:1320
Bucket 166 [0.1611328125->0.162109375]	556:594	1084:1215	1093:1570	1224:1311	1526:1888
Bucket 167 [0.162109375->0.1630859375]	531:535	583:1117	745:1290	760:1290	768:778
Bucket 168 [0.1630859375->0.1640625]	429:537	582:1290	1072:1684	1129:1498	1288:1363
Bucket 169 [0.1640625->0.1650390625]	531:542	583:1086	777:778	1093:1625	1303:1412
Bucket 170 [0.1650390625->0.166015625]	763:797	768:777	824:1956	1072:1685	1093:1288
Bucket 171 [0.166015625->0.1669921875]	581:1290	588:640	760:1509	1072:1688	1129:1546
Bucket 172 [0.1669921875->0.16796875]	423:537	556:568	1287:1342	1436:1723	1437:1723
Bucket 173 [0.16796875->0.1689453125]	690:856	745:1362	745:1368	1093:1396	1093:1736
Bucket 174 [0.1689453125->0.169921875]	556:572	583:1496	745:1335	760:1320	824:1393
Bucket 175 [0.169921875->0.1708984375]	582:1362	582:1368	583:1084	595:745	595:760
Bucket 176 [0.1708984375->0.171875]	200:236	200:242	581:1509	582:1335	597:1371
Bucket 177 [0.171875->0.1728515625]	394:529	562:699	582:1307	582:1315	589:640
Bucket 178 [0.1728515625->0.173828125]	528:537	556:593	565:588	685:775	745:1234
Bucket 179 [0.173828125->0.1748046875]	566:606	581:1320	1092:1599	1099:1106	1103:1106
Bucket 180 [0.1748046875->0.17578125]	429:531	560:606	581:1240	582:1234	597:1668
Bucket 181 [0.17578125->0.1767578125]	625:716	643:773	680:699	690:751	824:1369
Bucket 182 [0.1767578125->0.177734375]	643:711	643:743	695:699	697:699	762:777
Bucket 183 [0.177734375->0.1787109375]	582:595	597:1567	824:1396	982:1020	1090:1867
Bucket 184 [0.1787109375->0.1796875]	143:198	583:1287	762:768	1135:1253	1135:1255
Bucket 185 [0.1796875->0.1806640625]	562:625	643:772	699:716	699:764	992:1020
Bucket 186 [0.1806640625->0.181640625]	643:676	643:677	643:774	643:776	1026:1037
Bucket 187 [0.181640625->0.1826171875]	421:533	581:595	588:593	601:640	643:742
Bucket 188 [0.1826171875->0.18359375]	824:1567	1135:1252	1135:1263	1135:1270	1135:1277
Bucket 189 [0.18359375->0.1845703125]	425:533	528:531	624:680	624:695	624:697
Bucket 190 [0.1845703125->0.185546875]	588:594	588:669	597:1645	624:764	679:751
Bucket 191 [0.185546875->0.1865234375]	582:754	624:716	681:775	1087:1561	1135:1259
Bucket 192 [0.1865234375->0.1875]	383:540	625:680	625:695	625:697	693:751
Bucket 193 [0.1875->0.1884765625]	525:537	597:1560	1264:1305	1288:1319	1483:1714
Bucket 194 [0.1884765625->0.189453125]	581:754	597:1369	745:754	754:760	1245:1585
Bucket 195 [0.189453125->0.1904296875]	420:533	597:1533	597:1570	597:1956	681:751
Bucket 196 [0.1904296875->0.19140625]	630:643	632:643	969:1489	1040:1489	1043:1489
Bucket 197 [0.19140625->0.1923828125]	597:1271	597:1288	824:1637	893:1489	894:1489
Bucket 198 [0.1923828125->0.193359375]	597:1530	615:764	635:764	687:751	824:1668
Bucket 199 [0.193359375->0.1943359375]	562:624	635:695	635:697	857:1489	858:1489
Bucket 200 [0.1943359375->0.1953125]	597:1543	635:680	635:716	643:790	687:775
Bucket 201 [0.1953125->0.1962890625]	536:537	615:716	687:818	966:1489	967:1489
Bucket 202 [0.1962890625->0.197265625]	421:540	570:606	686:856	824:1562	941:1489
Bucket 203 [0.197265625->0.1982421875]	26:27	394:521	562:635	566:588	572:588
Bucket 204 [0.1982421875->0.19921875]	383:544	568:588	597:1529	637:764	824:1582
Bucket 205 [0.19921875->0.2001953125]	283:308	421:537	582:760	1129:1355	1206:1321
Bucket 206 [0.2001953125->0.201171875]	525:531	527:537	597:824	763:777	1129:1321
Bucket 207 [0.201171875->0.2021484375]	581:745	637:716	745:760	824:1734	1129:1238
Bucket 208 [0.2021484375->0.203125]	597:1582	606:668	1087:1467	1087:1469	1093:1582
Bucket 209 [0.203125->0.2041015625]	433:531	562:711	598:680	598:764	711:764
Bucket 210 [0.2041015625->0.205078125]	162:198	562:615	562:743	598:695	598:697
Bucket 211 [0.205078125->0.2060546875]	597:1393	603:640	610:640	680:743	743:764
Bucket 212 [0.2060546875->0.20703125]	597:1309	597:1426	597:1501	597:1502	598:716
Bucket 213 [0.20703125->0.2080078125]	209:242	562:772	615:680	615:695	615:697
Bucket 214 [0.2080078125->0.208984375]	597:1396	643:930	676:764	677:764	680:772
Bucket 215 [0.208984375->0.2099609375]	224:241	562:637	597:1363	643:927	716:747
Bucket 216 [0.2099609375->0.2109375]	209:236	433:537	527:531	531:536	597:1220
Bucket 217 [0.2109375->0.2119140625]	383:433	421:531	562:774	565:589	636:682
Bucket 218 [0.2119140625->0.212890625]	383:531	631:716	656:682	656:683	656:684
Bucket 219 [0.212890625->0.2138671875]	562:598	562:742	562:747	562:748	562:776
Bucket 220 [0.2138671875->0.21484375]	425:531	562:771	597:1093	680:747	680:748
Bucket 221 [0.21484375->0.2158203125]	562:773	626:643	627:764	676:680	677:680
Bucket 222 [0.2158203125->0.216796875]	562:676	562:677	562:781	562:786	562:790
Bucket 223 [0.216796875->0.2177734375]	562:835	595:1317	595:1330	631:680	646:682
Bucket 224 [0.2177734375->0.21875]	562:839	570:601	573:601	597:1264	627:716
Bucket 225 [0.21875->0.2197265625]	425:540	562:780	568:640	751:775	1021:1489
Bucket 226 [0.2197265625->0.220703125]	383:536	537:544	601:668	682:765	683:765
Bucket 227 [0.220703125->0.2216796875]	562:631	589:603	589:610	595:1518	682:766
Bucket 228 [0.2216796875->0.22265625]	420:540	556:603	564:601	643:839	682:740
Bucket 229 [0.22265625->0.2236328125]	383:537	425:537	556:610	716:790	824:1533
Bucket 230 [0.2236328125->0.224609375]	421:544	595:3745	716:927	716:930	840:1489
Bucket 231 [0.224609375->0.2255859375]	327:334	556:589	680:927	680:930	682:744
Bucket 232 [0.2255859375->0.2265625]	562:627	626:764	627:680	680:773	680:835
Bucket 233 [0.2265625->0.2275390625]	386:521	421:433	531:544	556:560	560:640
Bucket 234 [0.2275390625->0.228515625]	390:521	391:521	420:535	425:544	593:640
Bucket 235 [0.228515625->0.2294921875]	376:420	465:534	487:534	490:534	491:534
Bucket 236 [0.2294921875->0.23046875]	565:606	626:716	640:669	680:790	695:790
Bucket 237 [0.23046875->0.2314453125]	284:293	560:588	680:780	695:780	697:780
Bucket 238 [0.2314453125->0.232421875]	386:529	594:640	643:781	643:786	1294:1330
Bucket 239 [0.232421875->0.2333984375]	391:529	1093:1645	1206:1225	1206:1226	1207:1225
Bucket 240 [0.2333984375->0.234375]	367:403	390:529	626:680	716:781	716:786
Bucket 241 [0.234375->0.2353515625]	572:640	626:695	626:697	699:781	834:980
Bucket 242 [0.2353515625->0.236328125]	619:643	643:780	676:699	677:699	699:742
Bucket 243 [0.236328125->0.2373046875]	716:780	1225:1266	1226:1266	1301:1349	1694:3609
Bucket 244 [0.2373046875->0.23828125]	282:293	560:565	619:764	686:751	699:748
Bucket 245 [0.23828125->0.2392578125]	597:1305	699:780	986:996	986:997	1293:1356
Bucket 246 [0.2392578125->0.240234375]	597:1562	824:1093	1086:1496	1220:1264	1352:1657
Bucket 247 [0.240234375->0.2412109375]	619:716	1220:1645	1220:1734	1319:1560	1413:1567
Bucket 248 [0.2412109375->0.2421875]	562:626	614:764	686:775	764:780	775:856
Bucket 249 [0.2421875->0.2431640625]	679:775	699:774	699:776	1135:1225	1135:1226
Bucket 250 [0.2431640625->0.244140625]	537:540	816:821	1271:1668	1467:1526	1467:1633
Bucket 251 [0.244140625->0.2451171875]	588:589	818:856	1220:1309	1271:1637	1349:1635
Bucket 252 [0.2451171875->0.24609375]	614:716	689:775	689:856	1086:1287	1288:1956
Bucket 253 [0.24609375->0.2470703125]	1220:1271	1305:1529	1694:2856	1694:3480	1699:1792
Bucket 254 [0.2470703125->0.248046875]	562:619	601:606	619:680	619:695	619:697
Bucket 255 [0.248046875->0.2490234375]	1020:1489	1430:3592	1543:1645	1567:1676	1645:1668
Bucket 256 [0.2490234375->0.25]	1430:3368	1560:1956	1694:2800	1786:1803	1792:3035
Bucket 257 [0.25->0.2509765625]	589:606	614:680	1220:1363	1339:1341	1341:1413
Bucket 258 [0.2509765625->0.251953125]	266:308	420:544	562:614	595:1297	614:643
Bucket 259 [0.251953125->0.2529296875]	618:764	619:699	635:781	635:786	699:930
Bucket 260 [0.2529296875->0.25390625]	368:378	531:540	556:640	1089:1322	1694:2345
Bucket 261 [0.25390625->0.2548828125]	611:680	623:643	623:764	699:835	1339:1956
Bucket 262 [0.2548828125->0.255859375]	381:541	611:695	611:697	611:764	614:780
Bucket 263 [0.255859375->0.2568359375]	233:308	607:780	618:716	699:839	1271:1533
Bucket 264 [0.2568359375->0.2578125]	618:680	618:695	618:697	1309:1529	1341:1533
Bucket 265 [0.2578125->0.2587890625]	337:368	420:425	562:611	566:601	599:680
Bucket 266 [0.2587890625->0.259765625]	599:695	599:697	599:764	611:716	613:832
Bucket 267 [0.259765625->0.2607421875]	562:599	562:618	566:589	614:786	1271:1341
Bucket 268 [0.2607421875->0.26171875]	535:540	1093:1319	1503:1553	1533:1637	1694:2719
Bucket 269 [0.26171875->0.2626953125]	599:716	601:603	607:764	643:680	1090:1635
Bucket 270 [0.2626953125->0.263671875]	601:610	643:695	643:697	1087:1349	1220:1371
Bucket 271 [0.263671875->0.2646484375]	562:623	566:640	594:601	607:786	612:786
Bucket 272 [0.2646484375->0.265625]	568:601	607:781	612:780	612:781	682:696
Bucket 273 [0.265625->0.2666015625]	562:643	601:669	607:716	615:643	643:716
Bucket 274 [0.2666015625->0.267578125]	556:565	681:686	1220:1582	1349:2953	1372:1766
Bucket 275 [0.267578125->0.2685546875]	200:209	365:521	562:622	627:643	1497:1553
Bucket 276 [0.2685546875->0.26953125]	622:680	622:695	622:697	706:721	721:739
Bucket 277 [0.26953125->0.2705078125]	562:607	607:680	623:680	1319:1676	1675:1717
Bucket 278 [0.2705078125->0.271484375]	607:695	607:697	623:695	623:697	706:717
Bucket 279 [0.271484375->0.2724609375]	328:426	328:427	562:832	614:790	616:643
Bucket 280 [0.2724609375->0.2734375]	599:643	701:706	701:739	1694:2938	1694:3752
Bucket 281 [0.2734375->0.2744140625]	386:438	425:433	535:544	560:566	612:790
Bucket 282 [0.2744140625->0.275390625]	391:438	565:601	682:755	683:755	684:755
Bucket 283 [0.275390625->0.2763671875]	363:426	363:427	365:381	390:438	613:780
Bucket 284 [0.2763671875->0.27734375]	608:643	1305:1530	1616:1994	1694:2618	1694:3044
Bucket 285 [0.27734375->0.2783203125]	556:606	572:601	611:780	614:619	1271:1305
Bucket 286 [0.2783203125->0.279296875]	394:438	573:588	1093:1309	1339:1582	1413:1637
Bucket 287 [0.279296875->0.2802734375]	420:421	533:537	570:588	607:773	643:699
Bucket 288 [0.2802734375->0.28125]	376:527	607:790	611:786	614:839	635:790
Bucket 289 [0.28125->0.2822265625]	611:781	625:699	635:835	635:927	635:930
Bucket 290 [0.2822265625->0.283203125]	607:839	608:699	1090:1807	1093:1363	1694:3353
Bucket 291 [0.283203125->0.2841796875]	423:544	560:570	613:786	635:839	716:832
Bucket 292 [0.2841796875->0.28515625]	275:308	560:573	568:589	613:781	614:835
Bucket 293 [0.28515625->0.2861328125]	607:835	623:699	1694:2548	1699:2842	1699:3174
Bucket 294 [0.2861328125->0.287109375]	564:589	589:668	614:927	1369:1501	1396:1413
Bucket 295 [0.287109375->0.2880859375]	612:773	614:930	621:739	699:832	1264:1396
Bucket 296 [0.2880859375->0.2890625]	556:588	614:773	764:832	824:1309	1349:1633
Bucket 297 [0.2890625->0.2900390625]	420:542	589:593	607:927	607:930	680:832
Bucket 298 [0.2900390625->0.291015625]	531:533	560:668	588:668	589:669	1093:1339
Bucket 299 [0.291015625->0.2919921875]	522:553	573:589	593:601	621:706	635:773
Bucket 300 [0.2919921875->0.29296875]	566:668	570:589	589:594	778:797	788:834
Bucket 301 [0.29296875->0.2939453125]	433:535	564:640	611:790	612:839	635:832
Bucket 302 [0.2939453125->0.294921875]	333:354	631:699	686:818	789:834	789:836
Bucket 303 [0.294921875->0.2958984375]	784:834	784:836	791:836	795:834	795:836
Bucket 304 [0.2958984375->0.296875]	612:927	612:930	627:699	783:834	799:836
Bucket 305 [0.296875->0.2978515625]	611:643	631:643	800:836	1694:2697	1694:2897
Bucket 306 [0.2978515625->0.298828125]	566:573	572:589	618:643	783:836	1352:1565
Bucket 307 [0.298828125->0.2998046875]	173:195	566:570	612:835	613:835	622:643
Bucket 308 [0.2998046875->0.30078125]	420:527	606:640	613:839	690:818	1220:1413
Bucket 309 [0.30078125->0.3017578125]	611:773	1369:1371	1530:1570	1699:2142	1699:2277
Bucket 310 [0.3017578125->0.302734375]	607:643	637:780	1483:1766	1694:3052	1699:2046
Bucket 311 [0.302734375->0.3037109375]	383:425	560:603	560:610	679:818	686:690
Bucket 312 [0.3037109375->0.3046875]	564:566	607:774	614:711	614:743	637:781
