Bucket 0 [0.]	0:20	0:319	0:694	0:833	0:1121	0:1232	0:1323	0:1327	0:1331	0:1332
Bucket 60 [0.230469->0.234375]	420:1139	489:51611	768:20708	773:50434	786:46742	855:13674	895:51765	1031:7542	1034:46185	1034:46202
Bucket 61 [0.234375->0.238281]	489:51626	521:12890	674:12271	709:15877	781:17083	807:9961	809:1641	810:48135	814:31506	816:23196
Bucket 62 [0.238281->0.242188]	146:26522	418:10078	427:20867	488:5264	515:39119	524:50516	528:33053	583:47762	670:29437	716:36948
Bucket 63 [0.242188->0.246094]	361:10658	361:10669	374:3268	412:36757	416:18968	421:47507	423:38624	447:33765	497:16493	513:47868
Bucket 64 [0.246094->0.25]	137:17498	386:51143	493:34046	493:34061	513:47883	521:12905	534:6881	565:24268	629:52490	709:15784
Bucket 65 [0.25->0.253906]	115:18249	192:17081	366:39029	366:39033	399:43890	423:38639	427:20882	488:5279	517:30388	565:24280
Bucket 66 [0.253906->0.257812]	416:18983	497:16508	515:39134	537:44533	539:35833	618:49029	646:30353	648:21798	655:42574	700:3327
Bucket 67 [0.257812->0.261719]	374:3283	412:36772	418:10093	447:33780	504:36540	524:50531	528:33068	570:53364	1094:10101	1103:25177
Bucket 68 [0.261719->0.265625]	386:51158	399:43905	421:47522	676:3747	676:3749	676:3750	1023:39521	1034:46169	1034:46176	1034:46201
Bucket 69 [0.265625->0.269531]	366:39018	855:13675	855:13682	895:51766	895:51773	901:27206	903:19023	907:2666	908:49205	910:41032
Bucket 70 [0.269531->0.273438]	602:16545	602:16546	668:37854	668:37855	670:29286	670:29426	709:15786	716:36857	718:28404	751:41474
Bucket 71 [0.273438->0.277344]	666:46380	666:46381	724:3063	772:3945	807:9962	825:36488	829:19903	838:33276	840:25001	851:30184
Bucket 72 [0.277344->0.28125]	42:4723	42:4724	504:36555	720:19954	751:41467	781:16972	801:34946	807:9969	809:1642	809:1649
Bucket 73 [0.28125->0.285156]	366:39038	751:41460	807:9955	809:1635	810:48129	814:31500	816:23190	818:14883	820:6579	821:53078
Bucket 74 [0.285156->0.289062]	670:29404	777:33808	786:46844	855:13668	895:51759	901:27192	903:19009	907:2652	908:49191	910:41018
Bucket 75 [0.289062->0.292969]	690:45738	720:20015	772:4066	777:33729	777:33751	777:33754	777:33755	777:33757	777:33758	777:33759
Bucket 76 [0.292969->0.296875]	709:15880	716:36951	718:28498	1031:7622	1042:14190	1042:14193	1045:52823	1125:39866	1127:31993	1147:54648
Bucket 77 [0.296875->0.300781]	43:50855	720:20048	768:20695	772:4051	777:33721	777:33741	1038:30223	1064:27800	1127:32059	1129:24001
Bucket 78 [0.300781->0.304688]	43:50862	317:5604	534:6896	611:28418	703:41180	724:3124	777:33703	777:33704	777:33705	777:33707
Bucket 79 [0.304688->0.308594]	1:46128	600:25090	703:41176	703:41282	724:3157	751:41355	772:4052	777:33788	973:38155	1031:7557
Bucket 80 [0.308594->0.3125]	45:41434	45:41435	317:5596	642:47468	690:45741	690:45745	703:41280	772:3952	781:17004	781:17026
Bucket 81 [0.3125->0.316406]	40:14160	262:1176	263:47420	265:38307	317:5601	602:16469	670:29291	670:29295	670:29296	690:45742
Bucket 82 [0.316406->0.320312]	40:14161	642:47467	690:45755	781:16978	781:16980	781:16986	781:16988	781:16990	781:16995	781:16996
Bucket 83 [0.320312->0.324219]	3:36634	700:3318	751:41357	772:4049	781:16979	781:16982	781:16983	781:16984	781:16985	781:16987
Bucket 84 [0.324219->0.328125]	690:45748	700:3285	809:1632	814:31497	816:23187	818:14880	820:6576	821:53075	827:28184	831:11605
Bucket 85 [0.328125->0.332031]	21:53073	23:43608	670:29299	690:45644	703:41173	788:38391	855:13665	895:51756	907:2649	916:16514
Bucket 86 [0.332031->0.335938]	25:34146	482:31656	600:25095	652:4697	703:41245	703:41249	703:41250	703:41252	703:41260	703:41265
Bucket 87 [0.335938->0.339844]	131:45393	273:1885	274:48134	278:29943	690:45753	703:41220	703:41242	703:41246	703:41248	703:41251
Bucket 88 [0.339844->0.34375]	267:29197	271:10986	287:39852	751:41353	768:20811	781:17066	794:13357	966:15836	971:46234	1042:14188
Bucket 89 [0.34375->0.347656]	53:3732	53:3733	69:30181	69:30182	269:20090	432:49387	434:40525	703:41194	703:41195	703:41196
Bucket 90 [0.347656->0.351562]	38:23600	38:23601	56:40465	64:2826	64:2827	620:40431	690:45676	690:45698	690:45701	690:45702
Bucket 91 [0.351562->0.355469]	47:32004	47:32005	51:13153	54:49881	54:49882	56:40464	60:21639	60:21640	670:29297	700:3224
Bucket 92 [0.355469->0.359375]	51:13154	58:31050	58:31051	65:48980	65:48981	67:39579	67:39580	342:45235	351:55545	482:31614
Bucket 93 [0.359375->0.363281]	252:46771	434:40524	607:45639	690:45650	690:45651	690:45652	690:45654	690:45655	690:45656	690:45658
Bucket 94 [0.363281->0.367188]	690:45620	690:45657	690:45670	690:45693	690:45697	690:45735	772:3947	772:3964	772:3967	772:3969
Bucket 95 [0.367188->0.371094]	403:25994	629:52494	703:41290	772:4061	773:50537	958:48223	1040:22172	1086:42706	1086:42726	1086:42744
Bucket 96 [0.371094->0.375]	683:24644	703:41297	724:3166	966:15849	971:46244	1031:7543	1086:42690	1086:42709	1086:42725	1088:34777
Bucket 97 [0.375->0.378906]	629:52477	646:30357	655:42578	690:45736	703:41178	781:17069	971:46237	992:12151	1053:21039	1086:42654
Bucket 98 [0.378906->0.382812]	49:22577	49:22578	62:12231	62:12232	618:49033	648:21802	690:45739	777:33797	1049:36874	1053:20944
Bucket 99 [0.382812->0.386719]	570:53351	570:53368	652:4707	805:18291	966:15839	979:13939	1086:42532	1088:34619	1092:18072	1133:8412
Bucket 100 [0.386719->0.390625]	648:21785	683:24659	683:24661	683:24662	772:4058	781:17081	796:5118	969:54316	969:54323	1049:36971
Bucket 101 [0.390625->0.394531]	383:13712	646:30340	652:4686	652:4722	652:4724	652:4725	690:45744	690:45750	799:43389	805:18279
Bucket 102 [0.394531->0.398438]	618:49016	1040:22203	1040:22210	1101:33049	1103:25150	1103:25156	1103:25316	1109:1815	1133:8305	1146:7944
Bucket 103 [0.398438->0.402344]	383:13708	611:28399	670:29434	781:17075	1094:10168	1101:33110	1101:33111	1101:33181	1101:33182	1101:33205
Bucket 104 [0.402344->0.40625]	703:41285	997:42634	1055:13004	1097:49826	1101:33068	1101:33176	1109:1723	1109:1727	1120:8950	1120:8992
Bucket 105 [0.40625->0.410156]	768:20805	773:50531	788:38491	982:52446	1045:52913	1049:36896	1049:36905	1101:33033	1101:33210	1131:16141
Bucket 106 [0.410156->0.414062]	607:45618	609:37012	613:19812	1042:14223	1042:14230	1049:36912	1055:13013	1055:13020	1097:49852	1103:25178
Bucket 107 [0.414062->0.417969]	615:11209	958:48232	966:15844	1038:30186	1038:30193	1045:52815	1045:52818	1103:25162	1109:1525	1110:48188
