Bucket 0 [0.0]	0:110	0:113	0:121	0:130	0:138	0:141	0:142	0:143	0:146	0:148
Bucket 67 [0.515625->0.5234375]	144:146	236:242	288:313	386:394	390:394	391:394	428:530	598:626	608:623	611:616
Bucket 68 [0.5234375->0.53125]	429:525	533:542	536:542	539:540	613:637	615:619	616:626	627:637	630:635	631:637
Bucket 69 [0.53125->0.5390625]	145:149	145:152	288:336	311:393	311:395	311:396	350:426	350:427	376:425	421:423
Bucket 70 [0.5390625->0.546875]	280:288	280:336	286:313	288:325	337:378	421:429	433:539	528:536	611:618	618:619
Bucket 71 [0.546875->0.5546875]	204:267	267:269	280:313	280:325	286:288	311:343	311:353	313:336	429:528	535:539
Bucket 72 [0.5546875->0.5625]	266:275	282:284	286:325	291:309	294:309	313:325	325:336	598:607	608:613	611:626
Bucket 73 [0.5625->0.5703125]	281:309	353:395	353:396	527:533	536:539	598:608	598:631	616:625	618:623	627:676
Bucket 74 [0.5703125->0.578125]	311:352	311:357	352:395	352:396	353:393	357:395	357:396	425:429	599:637	613:622
Bucket 75 [0.578125->0.5859375]	269:271	280:286	290:315	343:393	343:395	343:396	352:393	357:393	525:536	598:627
Bucket 76 [0.5859375->0.59375]	204:271	233:275	428:439	428:449	428:451	428:456	428:457	428:463	428:467	428:470
Bucket 77 [0.59375->0.6015625]	204:269	281:294	409:428	423:429	428:440	428:441	428:443	428:444	428:445	428:446
Bucket 78 [0.6015625->0.609375]	286:336	379:380	433:544	595:1434	615:627	615:631	616:631	696:755	1244:1279	1382:1534
Bucket 79 [0.609375->0.6171875]	291:294	429:527	564:593	595:1557	595:1614	598:618	608:615	622:631	624:627	709:830
Bucket 80 [0.6171875->0.625]	233:266	331:335	346:370	582:1509	607:611	607:622	611:612	611:635	618:624	618:637
Bucket 81 [0.625->0.6328125]	230:244	607:637	621:701	624:631	696:757	1284:1557	1294:1557	1397:1431	1402:1427	1402:1428
Bucket 82 [0.6328125->0.640625]	211:230	211:244	218:225	582:1320	608:622	616:635	622:624	622:627	755:757	1225:1248
Bucket 83 [0.640625->0.6484375]	218:227	281:291	376:536	582:1240	613:635	618:622	618:635	619:627	636:735	656:735
Bucket 84 [0.6484375->0.65625]	383:420	527:540	593:669	595:1294	607:626	615:625	618:627	636:740	636:765	636:766
Bucket 85 [0.65625->0.6640625]	225:227	423:536	536:540	572:669	593:594	595:1431	595:1666	596:741	598:611	616:624
Bucket 86 [0.6640625->0.671875]	343:352	343:357	562:764	568:572	568:593	572:594	608:631	622:635	704:983	735:740
Bucket 87 [0.671875->0.6796875]	343:353	562:716	798:822	798:823	1214:1248	1214:1251	1284:1434	1294:1345	1294:1434	1319:1339
Bucket 88 [0.6796875->0.6875]	342:359	342:361	342:362	342:377	429:536	568:669	594:669	619:631	1046:1047	1284:1294
Bucket 89 [0.6875->0.6953125]	318:331	528:539	568:594	598:613	618:631	781:832	786:832	1019:1046	1046:1064	1046:1071
Bucket 90 [0.6953125->0.703125]	525:539	565:566	590:1523	591:1523	780:832	896:981	1041:1046	1046:1061	1046:1085	1225:1265
Bucket 91 [0.703125->0.7109375]	318:335	359:384	361:384	362:384	433:540	540:544	608:627	625:627	680:764	695:764
Bucket 92 [0.7109375->0.71875]	328:363	527:544	590:1377	591:1377	608:625	680:716	695:716	697:716	773:780	774:780
Bucket 93 [0.71875->0.7265625]	625:631	676:780	677:780	747:780	776:780	896:899	896:902	896:903	896:904	896:905
Bucket 94 [0.7265625->0.734375]	352:353	353:357	528:542	562:680	595:1345	598:622	711:780	742:780	743:780	748:780
Bucket 95 [0.734375->0.7421875]	423:542	562:695	562:697	581:760	676:786	677:786	743:786	773:835	812:1070	846:896
Bucket 96 [0.7421875->0.75]	595:1284	676:781	677:781	711:781	711:786	742:781	742:786	743:781	747:781	747:786
Bucket 97 [0.75->0.7578125]	595:1310	838:1021	893:896	894:896	895:896	965:981	966:981	967:981	968:981	969:981
Bucket 98 [0.7578125->0.765625]	342:384	598:624	785:819	838:981	858:896	861:896	868:896	870:896	871:896	873:896
Bucket 99 [0.765625->0.7734375]	423:528	425:535	596:1333	598:635	838:840	838:844	838:845	838:850	838:851	838:853
Bucket 100 [0.7734375->0.78125]	359:377	361:377	362:377	433:533	533:544	596:1295	832:839	838:841	838:843	838:847
Bucket 101 [0.78125->0.7890625]	665:1333	743:835	773:790	774:835	774:839	838:901	838:1043	840:965	840:966	840:967
Bucket 102 [0.7890625->0.796875]	423:539	582:745	676:835	677:835	711:835	711:839	743:839	772:835	772:839	774:927
Bucket 103 [0.796875->0.8046875]	310:316	310:317	375:416	375:545	572:593	624:635	665:1295	676:839	677:839	711:927
Bucket 104 [0.8046875->0.8125]	423:525	676:927	676:930	677:927	677:930	742:839	747:839	747:927	748:839	771:835
Bucket 105 [0.8125->0.8203125]	525:542	627:631	742:927	742:930	747:930	748:927	748:930	771:927	771:930	838:846
Bucket 106 [0.8203125->0.828125]	375:424	421:535	842:895	842:942	842:943	842:944	842:948	842:950	842:952	842:1040
Bucket 107 [0.828125->0.8359375]	416:545	676:790	677:790	711:790	743:773	743:790	747:790	773:774	776:790	780:835
Bucket 108 [0.8359375->0.84375]	409:530	416:424	676:773	677:773	711:773	742:790	748:790	771:790	772:773	772:790
Bucket 109 [0.84375->0.8515625]	530:567	533:540	539:542	645:647	650:698	655:698	662:698	742:773	747:773	748:773
Bucket 110 [0.8515625->0.859375]	439:530	440:530	441:530	443:530	444:530	445:530	446:530	447:530	448:530	449:530
Bucket 111 [0.859375->0.8671875]	451:530	456:530	463:530	467:530	473:530	481:530	484:530	488:530	648:659	650:659
Bucket 112 [0.8671875->0.875]	524:530	648:661	649:659	650:661	654:659	655:661	659:662	659:663	780:839	848:942
Bucket 113 [0.875->0.8828125]	297:304	421:425	649:661	650:657	650:660	654:661	655:657	655:660	657:659	657:662
Bucket 114 [0.8828125->0.890625]	295:304	301:304	377:384	525:528	648:657	648:660	654:657	654:660	657:698	660:698
Bucket 115 [0.890625->0.8984375]	424:545	648:654	649:657	649:660	650:654	654:655	654:662	657:663	660:663	661:698
Bucket 116 [0.8984375->0.90625]	649:654	654:663	659:661	667:784	667:789	667:791	667:795	676:774	706:739	747:774
Bucket 117 [0.90625->0.9140625]	650:662	655:662	657:661	660:661	742:774	748:774	771:774	838:893	838:894	838:895
Bucket 118 [0.9140625->0.921875]	648:662	649:662	838:968	838:969	840:846	841:846	842:901	846:851	846:902	846:906
Bucket 119 [0.921875->0.9296875]	235:239	235:240	662:663	842:848	842:1021	846:853	846:854	846:917	846:921	846:922
Bucket 120 [0.9296875->0.9375]	648:650	648:655	649:655	839:927	840:849	842:899	842:902	842:903	842:904	842:905
Bucket 121 [0.9375->0.9453125]	649:650	650:663	655:663	656:707	835:839	839:930	840:842	840:901	840:981	841:849
Bucket 122 [0.9453125->0.953125]	636:707	636:712	646:656	656:712	675:707	841:901	842:847	842:853	842:854	842:917
Bucket 123 [0.953125->0.9609375]	409:524	531:537	570:668	573:668	636:646	636:675	646:675	648:649	648:663	656:675
Bucket 124 [0.9609375->0.96875]	129:137	596:665	646:707	649:663	656:673	676:711	676:772	677:711	677:776	711:776
Bucket 125 [0.96875->0.9765625]	129:136	385:406	409:439	409:449	409:451	409:456	409:457	409:463	409:467	409:470
Bucket 126 [0.9765625->0.984375]	123:124	136:137	295:301	386:390	386:391	387:398	387:400	387:401	388:398	388:400
Bucket 127 [0.984375->0.9921875]	149:152	248:249	249:250	295:297	297:301	390:391	409:440	409:443	409:445	409:446
Bucket 128 [0.9921875->1.0]	90:91	92:93	239:240	248:250	316:317	352:357	359:361	359:362	361:362	387:388
Bucket 128 [1.]	630:632	921:923	934:935	1165:1166	1209:1210	1394:1395	1426:1502	1438:1449	1442:1448	1451:1453
