# A tibble: 110 × 17
# Groups:   k, totbits, bin [108]
        k totbits   bin     n `BMH1-500000` `BMH1-50000000`     Dash1      FSS1      FSSN   JItrue `PMH1-500000` `PMH1-50000000`      SS1  WJItrue     FSS8   Mash       SS8
    <int>   <dbl> <dbl> <int>         <dbl>           <dbl>     <dbl>     <dbl>     <dbl>    <dbl>         <dbl>           <dbl>    <dbl>    <dbl>    <dbl>  <dbl>     <dbl>
 71    31  524288  0.8   1105        178.            126.      64.5      63.6      67.4      63.9         137.            123.      63.6     64.4     64.5   66.4     61.7  
 72    31  524288  0.85  1471        150.             89.1     51.6      51.4      51.2      51.0          99.1            86.2     51.7     50.2     52.2   51.0     52.0  
 73    31  524288  0.9   6496        333.            166.     104.      105.      105.      102.          106.            153.     104.     102.     105.   103.     102.   
 74    31  524288  0.95 41978        166.            108.      93.3      94.9      95.4      78.1        -950.             77.4     94.0     82.8     94.2   88.6     94.4  
 75    71   16384  0.7     41         10.0             9.03    -6.05    -10.5     -15.7       3.03          9.38            9.00    -4.92     3.18    NA     NA       NA    
 76    71   16384  0.75   159         33.6            29.8    -30.9     -39.8     -57.0      11.0          31.0            29.7    -42.3     11.4     NA     NA       NA    
 77    71   16384  0.8   1105        189.            164.    -373.     -192.     -413.       33.8         170.            162.    -143.      32.6     NA     NA       NA    
 78    71   16384  0.85  1471        165.            129.    -407.     -229.     -548.      -27.6         141.            128.    -227.     -33.2     NA     NA       NA    
 79    71   16384  0.9   6496        395.            245.   -1973.     -253.    -1504.     -435.          290.            241.    -223.    -431.      NA     NA       NA    
 80    71   16384  0.95 41978        294.           -395.   -2265.    -1088.    -1856.    -3978.         -388.           -429.   -1029.   -3922.      NA     NA       NA    
 81    71   32768  0.7     41         10.0             9.02    -8.12    -16.9     -10.2       3.03          9.38            9.00   -10.4      3.18   -26.9   NA      -26.9  
 82    71   32768  0.75   159         33.6            29.8    -28.2     -29.9     -61.9      11.0          31.0            29.7    -50.1     11.4   -111.    NA      -85.2  
 83    71   32768  0.8   1105        189.            163.    -260.     -141.     -361.       32.2         170.            163.    -154.      35.4   -548.    NA     -356.   
