# A tibble: 387 × 10
# Groups:   k, totbits, bin [288]
        k totbits   bin     n       Dash1       FSS1        SS1       FSS8    Mash        SS8
    <int>   <dbl> <dbl> <int>       <dbl>      <dbl>      <dbl>      <dbl>   <dbl>      <dbl>
153    21  524288  0.35  2842  0.229       0.229      0.247      0.321      0.895   0.236    
154    21  524288  0.4   2872  0.314       0.368      0.279      0.403      1.14    0.362    
155    21  524288  0.45  2809  0.457       0.465      0.439      0.533      1.36    0.571    
156    21  524288  0.5   2460  0.445       0.362      0.432      0.694      1.03    0.351    
157    21  524288  0.55  3340  0.648       0.578      0.580      0.782      0.961   0.577    
158    21  524288  0.6   2630  0.758       0.639      0.644      0.740      0.725   0.688    
159    21  524288  0.65  2949  0.974       0.993      0.920      0.943      1.02    1.02     
160    21  524288  0.7   3274  1.45        1.39       1.25       1.47       1.35    1.29     
161    21  524288  0.75  2934  1.91        1.94       1.75       2.10       1.87    1.80     
162    21  524288  0.8   3701  2.87        2.87       2.68       3.02       2.97    2.62     
163    21  524288  0.85  2971  3.90        3.71       3.64      NA         NA      NA        
164    21  524288  0.85  2972 NA          NA         NA          3.58       3.83    3.29     
165    21  524288  0.9   2197  1.63        1.70       1.63      NA         NA      NA        
166    21  524288  0.9   2196 NA          NA         NA          1.19       1.33    1.21     
167    21  524288  0.95  1720  0.875       0.927      0.880      0.901      0.934   0.879    
168    31   16384  0     2684  2.85        2.14       2.05      NA         NA      NA        
169    31   16384  0.05  2655  1.08        0.480      0.458     NA         NA      NA        
170    31   16384  0.1   2595  0.627       0.190      0.240     NA         NA      NA        
171    31   16384  0.15  2470  0.925       0.352      0.186     NA         NA      NA        
172    31   16384  0.2   2493  0.863       0.277      0.178     NA         NA      NA        
173    31   16384  0.25  2735  0.561       0.172      0.122     NA         NA      NA        
174    31   16384  0.3   2445  0.641       0.280      0.186     NA         NA      NA        
175    31   16384  0.35  2839  0.566       0.392      0.167     NA         NA      NA        
176    31   16384  0.4   2351  0.650       0.846      0.208     NA         NA      NA        
177    31   16384  0.45  2699  0.579       1.03       0.398     NA         NA      NA        
178    31   16384  0.5   2665  1.39        0.775      0.497     NA         NA      NA        
179    31   16384  0.55  2442  0.676       0.306      0.279     NA         NA      NA        
180    31   16384  0.6   2811  1.10        0.723      0.844     NA         NA      NA        
181    31   16384  0.65  2691  1.35        1.06       1.29      NA         NA      NA        
182    31   16384  0.7   2592  1.35        1.13       0.929     NA         NA      NA        
183    31   16384  0.75  2917  1.85        2.03       1.10      NA         NA      NA        
184    31   16384  0.8   2501  2.06        1.57       1.49      NA         NA      NA        
185    31   16384  0.85  2777  3.52        2.19       2.71      NA         NA      NA        
186    31   16384  0.9   2118  0.916       0.527      0.710     NA         NA      NA        
187    31   16384  0.95  1770  0.505       0.464      0.474     NA         NA      NA        
188    31   32768  0     2663  2.15        1.84       1.79      NA         NA      NA        
189    31   32768  0     2899 NA          NA         NA          6.90       7.52    7.06     
190    31   32768  0.05  2658  0.657       0.400      0.380     NA         NA      NA        
191    31   32768  0.05  2668 NA          NA         NA          1.97       2.12    1.88     
192    31   32768  0.1   2592  0.364       0.113      0.119     NA         NA      NA        
193    31   32768  0.1   2567 NA          NA         NA          0.892      1.50    1.19     
194    31   32768  0.15  2481  0.286       0.241      0.106     NA         NA      NA        
195    31   32768  0.15  2406 NA          NA         NA          0.551      1.16    0.629    
196    31   32768  0.2   2497  0.502       0.181      0.102     NA         NA      NA        
197    31   32768  0.2   2411 NA          NA         NA          0.972      0.430   0.737    
198    31   32768  0.25  2741  0.409       0.201      0.0815    NA         NA      NA        
199    31   32768  0.25  2686 NA          NA         NA          1.18       0.737   0.627    
200    31   32768  0.3   2444  0.252       0.269      0.137     NA         NA      NA        
201    31   32768  0.3   2438 NA          NA         NA          1.46       0.696   0.627    
202    31   32768  0.35  2839  0.266       0.393      0.167     NA         NA      NA        
203    31   32768  0.35  2838 NA          NA         NA          1.01       1.92    1.54     
204    31   32768  0.4   2352  0.395       0.519      0.328     NA         NA      NA        
205    31   32768  0.4   2351 NA          NA         NA          1.97       1.15    1.17     
206    31   32768  0.45  2699  0.318       0.466      0.166      2.10       1.17    1.48     
207    31   32768  0.5   2664  0.577       0.359      0.212     NA         NA      NA        
208    31   32768  0.5   2666 NA          NA         NA          1.94       1.68    1.09     
209    31   32768  0.55  2442  0.331       0.177      0.182      1.48       1.28    0.938    
210    31   32768  0.6   2811  0.689       0.556      0.647      1.57       1.38    1.39     
211    31   32768  0.65  2691  1.20        0.756      1.11      NA         NA      NA        
212    31   32768  0.65  2692 NA          NA         NA          1.87       1.61    2.44     
213    31   32768  0.7   2592  1.03        0.840      0.924      1.72       1.48    1.88     
214    31   32768  0.75  2917  1.58        1.65       1.23       3.20       2.32    1.33     
215    31   32768  0.8   2501  1.83        1.60       1.44       2.08       2.21    1.38     
216    31   32768  0.85  2777  3.18        2.45       2.42       2.58       3.16    2.20     
217    31   32768  0.9   2119  0.774       0.667      0.683      0.411      0.660   0.858    
218    31   32768  0.95  1770  0.426       0.488      0.448      0.392      0.382   0.637    
219    31   65536  0     2649  1.59        1.42       1.38      NA         NA      NA        
220    31   65536  0     2718 NA          NA         NA          3.09       3.37    3.05     
221    31   65536  0.05  2648  0.396       0.283      0.275     NA         NA      NA        
222    31   65536  0.05  2656 NA          NA         NA          0.549      0.556   0.565    
223    31   65536  0.1   2600  0.323       0.0856     0.0885    NA         NA      NA        
224    31   65536  0.1   2584 NA          NA         NA          0.340      0.655   0.388    
225    31   65536  0.15  2494  0.234       0.0983     0.0689    NA         NA      NA        
226    31   65536  0.15  2459 NA          NA         NA          0.297      0.296   0.270    
227    31   65536  0.2   2502  0.266       0.0828     0.0842    NA         NA      NA        
228    31   65536  0.2   2487 NA          NA         NA          0.649      0.377   0.406    
229    31   65536  0.25  2740  0.154       0.139      0.0920    NA         NA      NA        
230    31   65536  0.25  2726 NA          NA         NA          0.543      0.237   0.283    
231    31   65536  0.3   2445  0.584       0.635      0.492      0.953      0.279   0.420    
232    31   65536  0.35  2839  0.131       0.238      0.206     NA         NA      NA        
233    31   65536  0.35  2840 NA          NA         NA          0.836      1.22    0.618    
234    31   65536  0.4   2351  0.252       0.246      0.305      1.07       0.484   0.354    
235    31   65536  0.45  2699  0.219       0.240      0.215     NA         NA      NA        
236    31   65536  0.45  2701 NA          NA         NA          1.41       0.695   0.866    
237    31   65536  0.5   2664  0.652       0.295      0.411      0.731      0.760   0.554    
238    31   65536  0.55  2442  0.360       0.171      0.206      0.401      0.508   0.432    
239    31   65536  0.6   2811  0.695       0.512      0.595      0.966      0.855   0.969    
240    31   65536  0.65  2691  0.989       0.670      0.864      1.19       1.14    1.50     
241    31   65536  0.7   2592  0.804       0.729      0.815      1.26       1.12    1.23     
242    31   65536  0.75  2917  1.64        1.54       1.37       2.08       2.29    1.11     
