#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 10 -o uniprot_sprot.fasta.gz.LSH-assisted.sketches.bin --cmpout uniprot_sprot.fasta.gz.LSH-assisted.topk.matrix -p48 -S256 --protein14 --nLSH 2 --topk 256 --sig-ram-limit 300000 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Index building took 29.4728s. KNN Generation took 13.6619s
List refinement took 5.09448s.
Emitting list took 128.004s.
#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 10 -o uniprot_sprot.fasta.gz.exact.sketches.bin --cmpout uniprot_sprot.fasta.gz.exact.topk.matrix -p48 -S256 --protein14 --nLSH 2 --topk 256 --sig-ram-limit 300000 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Finished processing 256/565254 lines; estimated 234023s left
Finished processing 45568/565254 lines; estimated 4037.62s left
Finished processing 45824/565254 lines; estimated 4027.62s left
Finished processing 46080/565254 lines; estimated 4017.83s left
Finished processing 46336/565254 lines; estimated 4010.9s left
Finished processing 46592/565254 lines; estimated 4001.16s left
Finished processing 46848/565254 lines; estimated 3991.5s left
Finished processing 47104/565254 lines; estimated 3984.83s left
Finished processing 47360/565254 lines; estimated 3975.36s left
Finished processing 47616/565254 lines; estimated 3965.95s left
Finished processing 47872/565254 lines; estimated 3959.41s left
Finished processing 48128/565254 lines; estimated 3950.17s left
Finished processing 48384/565254 lines; estimated 3941s left
Finished processing 48640/565254 lines; estimated 3934.63s left
Finished processing 48896/565254 lines; estimated 3925.66s left
Finished processing 49152/565254 lines; estimated 3916.72s left
Finished processing 49408/565254 lines; estimated 3910.52s left
Finished processing 49664/565254 lines; estimated 3901.74s left
Finished processing 49920/565254 lines; estimated 3893.05s left
Finished processing 50176/565254 lines; estimated 3887.03s left
Finished processing 50432/565254 lines; estimated 3878.45s left
Finished processing 50688/565254 lines; estimated 3871.4s left
