#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 11 -o uniprot_sprot.fasta.gz.LSH-assisted.sketches.bin --cmpout uniprot_sprot.fasta.gz.LSH-assisted.topk.matrix -p48 -S1024 --protein14 --nLSH 3 --topk 512 --sig-ram-limit 21474836480 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Index building took 143.169s. KNN Generation took 32.8672s
List refinement took 13.2497s.
Emitting list took 120.043s.
#Calling Dashing2 version v2.1.5.1-7-gaf30 with command '/scratch4/blangme2/dnb/dashing2-experiments/allpairs/thresholded/dashing2 dashing2 sketch --cache -k 11 -o uniprot_sprot.fasta.gz.exact.sketches.bin --cmpout uniprot_sprot.fasta.gz.exact.topk.matrix -p48 -S1024 --protein14 --nLSH 3 --topk 512 --sig-ram-limit 21474836480 --parse-by-seq uniprot_sprot.fasta.gz'
Parsing amino acid sequences with 14-letter compressed alphabet.
Finished processing 256/565254 lines; estimated 19153.3s left
Finished processing 13824/565254 lines; estimated 16599.2s left
Finished processing 14080/565254 lines; estimated 16595.3s left
Finished processing 14336/565254 lines; estimated 16545.9s left
Finished processing 14592/565254 lines; estimated 16533.8s left
Finished processing 14848/565254 lines; estimated 16529.5s left
Finished processing 15104/565254 lines; estimated 16510.3s left
Finished processing 15360/565254 lines; estimated 16476.3s left
Finished processing 15616/565254 lines; estimated 16464.1s left
Finished processing 15872/565254 lines; estimated 16455.4s left
Finished processing 16128/565254 lines; estimated 16415.1s left
Finished processing 16384/565254 lines; estimated 16398.1s left
Finished processing 16640/565254 lines; estimated 16387.3s left
Finished processing 16896/565254 lines; estimated 16347s left
Finished processing 17152/565254 lines; estimated 16321.8s left
Finished processing 17408/565254 lines; estimated 16308s left
Finished processing 17664/565254 lines; estimated 16276.6s left
Finished processing 17920/565254 lines; estimated 16245.4s left
Finished processing 18176/565254 lines; estimated 16230.9s left
Finished processing 18432/565254 lines; estimated 16207.1s left
Finished processing 18688/565254 lines; estimated 16185.7s left
Finished processing 18944/565254 lines; estimated 16154.3s left
Finished processing 19200/565254 lines; estimated 16143.2s left
Finished processing 19456/565254 lines; estimated 16116.1s left
Finished processing 19712/565254 lines; estimated 16094.8s left
Finished processing 19968/565254 lines; estimated 16068.8s left
Finished processing 20224/565254 lines; estimated 16044.6s left
Finished processing 20480/565254 lines; estimated 16016.6s left
Finished processing 20736/565254 lines; estimated 15988.6s left
Finished processing 20992/565254 lines; estimated 15957.8s left
Finished processing 21248/565254 lines; estimated 15905.8s left
Finished processing 21504/565254 lines; estimated 15856.5s left
Finished processing 21760/565254 lines; estimated 15830.8s left
Finished processing 22016/565254 lines; estimated 15780.9s left
Finished processing 22272/565254 lines; estimated 15734.8s left
Finished processing 22528/565254 lines; estimated 15707.6s left
Finished processing 22784/565254 lines; estimated 15658.7s left
Finished processing 23040/565254 lines; estimated 15616.8s left
Finished processing 23296/565254 lines; estimated 15589.6s left
Finished processing 23552/565254 lines; estimated 15542.7s left
Finished processing 23808/565254 lines; estimated 15522.3s left
Finished processing 24064/565254 lines; estimated 15476.7s left
Finished processing 24320/565254 lines; estimated 15444.2s left
Finished processing 24576/565254 lines; estimated 15413.2s left
Finished processing 24832/565254 lines; estimated 15380.5s left
Finished processing 25088/565254 lines; estimated 15346.5s left
Finished processing 25344/565254 lines; estimated 15301.4s left
Finished processing 25600/565254 lines; estimated 15270.2s left
Finished processing 25856/565254 lines; estimated 15237.8s left
Finished processing 26112/565254 lines; estimated 15194.7s left
Finished processing 26368/565254 lines; estimated 15164.9s left
Finished processing 26624/565254 lines; estimated 15132.7s left
Finished processing 26880/565254 lines; estimated 15103.8s left
Finished processing 27136/565254 lines; estimated 15072.6s left
Finished processing 27392/565254 lines; estimated 15032.3s left
Finished processing 27648/565254 lines; estimated 15005.6s left
Finished processing 27904/565254 lines; estimated 14974.5s left
Finished processing 28160/565254 lines; estimated 14936.4s left
Finished processing 28416/565254 lines; estimated 14912.2s left
Finished processing 28672/565254 lines; estimated 14881.1s left
Finished processing 28928/565254 lines; estimated 14858.7s left
Finished processing 29184/565254 lines; estimated 14822.3s left
Finished processing 29440/565254 lines; estimated 14790.6s left
Finished processing 29696/565254 lines; estimated 14773.7s left
Finished processing 29952/565254 lines; estimated 14742.4s left
Finished processing 30208/565254 lines; estimated 14727.1s left
Finished processing 30464/565254 lines; estimated 14693.1s left
Finished processing 30720/565254 lines; estimated 14664.2s left
Finished processing 30976/565254 lines; estimated 14646.4s left
Finished processing 31232/565254 lines; estimated 14616.7s left
Finished processing 31488/565254 lines; estimated 14600.1s left
Finished processing 31744/565254 lines; estimated 14568.1s left
Finished processing 32000/565254 lines; estimated 14541s left
Finished processing 32256/565254 lines; estimated 14523.6s left
Finished processing 32512/565254 lines; estimated 14492.8s left
Finished processing 32768/565254 lines; estimated 14468.2s left
Finished processing 33024/565254 lines; estimated 14450s left
Finished processing 33280/565254 lines; estimated 14427.1s left
Finished processing 33536/565254 lines; estimated 14397.9s left
Finished processing 33792/565254 lines; estimated 14378.8s left
Finished processing 34048/565254 lines; estimated 14357.8s left
Finished processing 34304/565254 lines; estimated 14338s left
Finished processing 34560/565254 lines; estimated 14309.4s left
Finished processing 34816/565254 lines; estimated 14290.2s left
Finished processing 35072/565254 lines; estimated 14272.8s left
Finished processing 35328/565254 lines; estimated 14252.4s left
Finished processing 35584/565254 lines; estimated 14233.7s left
Finished processing 35840/565254 lines; estimated 14215.1s left
Finished processing 36096/565254 lines; estimated 14191.2s left
Finished processing 36352/565254 lines; estimated 14170.4s left
Finished processing 36608/565254 lines; estimated 14150.8s left
Finished processing 36864/565254 lines; estimated 14128.5s left
Finished processing 37120/565254 lines; estimated 14114.2s left
Finished processing 37376/565254 lines; estimated 14088.3s left
Finished processing 37632/565254 lines; estimated 14067.5s left
Finished processing 37888/565254 lines; estimated 14052.5s left
Finished processing 38144/565254 lines; estimated 14027.2s left
Finished processing 38400/565254 lines; estimated 14014.2s left
Finished processing 38656/565254 lines; estimated 13993.7s left
Finished processing 38912/565254 lines; estimated 13975.5s left
Finished processing 39168/565254 lines; estimated 13959.9s left
Finished processing 39424/565254 lines; estimated 13935.7s left
Finished processing 39680/565254 lines; estimated 13918.4s left
Finished processing 39936/565254 lines; estimated 13904s left
Finished processing 40192/565254 lines; estimated 13890.8s left
Finished processing 40448/565254 lines; estimated 13873.3s left
Finished processing 40704/565254 lines; estimated 13858.6s left
Finished processing 40960/565254 lines; estimated 13835.7s left
Finished processing 41216/565254 lines; estimated 13819.6s left
Finished processing 41472/565254 lines; estimated 13804.5s left
Finished processing 41728/565254 lines; estimated 13782.4s left
Finished processing 41984/565254 lines; estimated 13767.6s left
Finished processing 42240/565254 lines; estimated 13752.3s left
Finished processing 42496/565254 lines; estimated 13738.5s left
Finished processing 42752/565254 lines; estimated 13717.4s left
Finished processing 43008/565254 lines; estimated 13701.1s left
Finished processing 43264/565254 lines; estimated 13688.4s left
Finished processing 43520/565254 lines; estimated 13669.1s left
Finished processing 43776/565254 lines; estimated 13650.5s left
Finished processing 44032/565254 lines; estimated 13639.1s left
Finished processing 44288/565254 lines; estimated 13621.4s left
Finished processing 44544/565254 lines; estimated 13600.5s left
Finished processing 44800/565254 lines; estimated 13590.2s left
