#Tool	k	numregs	regsize	nthreads	sketchtime	disttime
Bindash-1	31	16384	1	272	2508.6491667274386	226.35138352401555
Bindash-0.5	31	16384	0.5	272	2516.0091691091657	230.0515117160976
Bindash-8	31	32768	8	272	2593.3219067417085	411.2986577935517
Bindash-4	31	32768	4	272	2576.3165243044496	411.90358896926045
Bindash-2	31	32768	2	272	2584.2565030902624	413.25505143776536
Bindash-1	31	32768	1	272	2604.4238742552698	410.90328257903457
Bindash-0.5	31	32768	0.5	272	2604.3275912478566	412.42971447855234
D2FSS-bin-8	31	16384	8	272	1161.7685565650463	557.4355532489717
D2FSS-bin-4	31	16384	4	272	781.7837407328188	208.38177376240492
D2FSS-bin-2	31	16384	2	272	782.4564237631857	93.04508055001497
D2FSS-bin-1	31	16384	1	272	801.6686115860939	41.09686642512679
D2FSS-bin-0.5	31	16384	0.5	272	794.8414468765259	1970.341206714511
D2FSS-txt-8	31	16384	8	272	1665.5546912401915	719.4483974650502
D2FSS-txt-4	31	16384	4	272	923.1372481882572	479.0636223293841
D2FSS-txt-2	31	16384	2	272	2083.10104034096	95.26660615950823
D2FSS-txt-1	31	16384	1	272	3069.0897855870426	69.64902382344007
D2FSS-txt-0.5	31	16384	0.5	272	764.0046755596995	100.63879572600126
D2FSS-bin-8	31	32768	8	272	954.7003989256918	1887.936842855066
D2FSS-bin-4	31	32768	4	272	996.1984284259379	631.9889469370246
D2FSS-bin-2	31	32768	2	272	971.8433911092579	230.03933497145772
D2FSS-bin-1	31	32768	1	272	989.1650231108069	115.08815049007535
D2FSS-bin-0.5	31	32768	0.5	272	937.9554106630385	103.02501555159688
D2OP-bin-8	31	16384	8	272	949.0920105427504	551.0562893785536
D2OP-bin-4	31	16384	4	272	925.4755383655429	213.91407860815525
D2OP-bin-2	31	16384	2	272	993.9330007880926	81.88925195857882
D2OP-bin-1	31	16384	1	272	995.2753320112824	40.65270855650306
D2OP-bin-0.5	31	16384	0.5	272	1032.2407181486487	63.01550906524062
D2OP-txt-8	31	16384	8	272	1037.2488996759057	551.1018778197467
D2OP-txt-4	31	16384	4	272	1095.970471508801	210.92529483139515
D2OP-txt-2	31	16384	2	272	898.6722714491189	106.77117582410574
D2OP-txt-1	31	16384	1	272	1106.6024085469544	60.729690715670586
D2OP-txt-0.5	31	16384	0.5	272	1123.304016854614	90.25874049961567
Mash	31	16384	8	272	2153.3509148806334	2951.886368079111
Mash	31	32768	8	272	2111.78755825758	5843.873051255941
PMH-bin-8-500000	31	32768	8	272	1315.210544936359	1891.8709809295833
PMH-bin-4-500000	31	32768	4	272	1343.4652882367373	631.0005738995969
PMH-bin-2-500000	31	32768	2	272	1314.6348502784967	235.7788244485855
PMH-bin-1-500000	31	32768	1	272	1305.3926391266286	112.22618655115366
PMH-bin-0.5-500000	31	32768	0.5	272	1322.3603287376463	100.86274102330208
PMH-txt-8-500000	31	32768	8	272	1299.5225241705775	1908.9070161543787
PMH-txt-4-500000	31	32768	4	272	1302.7936305999756	637.6933515034616
PMH-txt-2-500000	31	32768	2	272	1306.4263023808599	236.16337161883712
PMH-txt-1-500000	31	32768	1	272	1302.8642973713577	126.05736265331507
PMH-txt-0.5-500000	31	32768	0.5	272	1302.4423866607249	126.662896245718
PMH-bin-8-2500000	31	4096	8	96	457.8407083749771	30.270484883338213
PMH-bin-4-2500000	31	4096	4	96	457.5208373479545	25.204808063805103
PMH-bin-2-2500000	31	4096	2	96	642.7017615586519	645.9304992854595
PMH-bin-1-2500000	31	4096	1	96	4289.623991351575	16.37514927983284
PMH-bin-0.5-2500000	31	4096	0.5	96	580.232391025871	95.07627478986979
PMH-txt-8-2500000	31	4096	8	96	645.0639545097947	986.3284843973815
PMH-txt-4-2500000	31	4096	4	96	2413.2253765948117	32.109036326408386
PMH-txt-2-2500000	31	4096	2	96	1704.5748831219971	2396.7774336487055
PMH-txt-1-2500000	31	4096	1	96	539.0529518090189	30.310719270259142
PMH-txt-0.5-2500000	31	4096	0.5	96	464.50369642302394	26.54683058336377
PMH-bin-8-5000000	31	8192	8	96	505.76076438091695	64.27903198450804
PMH-bin-4-5000000	31	8192	4	96	513.8122320789844	45.39004402793944
PMH-bin-2-5000000	31	8192	2	96	1048.2143425811082	482.2753221113235
PMH-bin-1-5000000	31	8192	1	96	510.9837833531201	16.967700228095055
PMH-bin-0.5-5000000	31	8192	0.5	96	508.80835748277605	15.04428056627512
PMH-txt-8-5000000	31	8192	8	96	513.6775670535862	60.41885024681687
PMH-txt-4-5000000	31	8192	4	96	509.79651959612966	45.50249740667641
PMH-txt-2-5000000	31	8192	2	96	510.22491094097495	33.27961803972721
PMH-txt-1-5000000	31	8192	1	96	521.2391661033034	32.621312130242586
PMH-txt-0.5-5000000	31	8192	0.5	96	1059.4756469037384	246.20409990288317
PMH-bin-8-2500000	31	1024	8	96	691.9308840706944	16.394526798278093
PMH-bin-4-2500000	31	1024	4	96	601.2666366659105	18.816032830625772
PMH-bin-2-2500000	31	1024	2	96	729.5167894996703	764.8394834958017
PMH-bin-1-2500000	31	1024	1	96	526.1002159118652	12.410718377679586
PMH-bin-0.5-2500000	31	1024	0.5	96	508.5007681027055	10.496515359729528
PMH-txt-8-2500000	31	1024	8	96	520.789227232337	15.231587156653404
PMH-txt-4-2500000	31	1024	4	96	562.1880343593657	16.32276802882552
PMH-txt-2-2500000	31	1024	2	96	526.5237808004022	15.116143122315407
PMH-txt-1-2500000	31	1024	1	96	548.0240772999823	18.90923884510994
PMH-txt-0.5-2500000	31	1024	0.5	96	989.4208995290101	2007.9486642479897
PMH-bin-8-2500000	31	16384	8	96	672.1192234419286	194.82709421217442
