# A tibble: 120 × 12
# Groups:   k, sketchsize, bin [120]
        k sketchsize   bin     n     BD1       BD2       BD4      BD8    Dash1      FSS1     Mash       SS1
    <int>      <int> <dbl> <int>   <dbl>     <dbl>     <dbl>    <dbl>    <dbl>     <dbl>    <dbl>     <dbl>
 81    31      32768  0        8 0.0421   0.0172   -0.00771   0.0206  -0.00791 -0.00943   0.00303  0.0167  
 82    31      32768  0.05    48 0.180    0.0659   -0.00199  -0.00883  0.0732   0.0302   -0.00297  0.0390  
 83    31      32768  0.1     48 0.180   -0.0719   -0.0230   -0.0396   0.0254  -0.0275    0.162   -0.00147 
 84    31      32768  0.15    55 0.273    0.110    -0.0117   -0.216    0.221    0.221     0.308    0.136   
 85    31      32768  0.2     52 0.326    0.173     0.161    -0.0536   0.474    0.106     0.351    0.145   
 86    31      32768  0.25    46 0.160    0.117     0.0968    0.179    0.314    0.234     0.482    0.108   
 87    31      32768  0.3     52 0.388    0.320     0.420     0.595    0.253    0.293     0.202    0.298   
 88    31      32768  0.35    52 0.365    0.220     0.234     0.441    0.359    0.380     0.382    0.348   
 89    31      32768  0.4     56 0.596    0.511     0.513     0.893    0.131    0.465     0.673    0.332   
 90    31      32768  0.45    44 0.467    0.429     0.517     0.639    0.453    0.352     0.463    0.414   
 91    31      32768  0.5     55 0.495    0.532     0.638     0.432    0.529    0.420     0.712    0.434   
 92    31      32768  0.55    53 0.561    0.508     0.635     0.368    0.715    0.744     0.581    0.461   
 93    31      32768  0.6     49 0.967    0.830     0.758     0.875    0.999    0.919     0.998    0.900   
 94    31      32768  0.65    54 0.835    0.754     0.865     0.951    0.962    0.882     0.723    0.862   
 95    31      32768  0.7     57 1.40     1.35      1.38      1.32     1.26     1.41      1.37     1.36    
 96    31      32768  0.75    49 0.879    0.772     0.859     0.695    0.925    0.943     0.900    0.909   
 97    31      32768  0.8     45 0.891    0.817     0.796     0.930    0.905    0.895     0.907    0.867   
 98    31      32768  0.85    56 1.40     1.37      1.45      1.63     1.46     1.41      1.65     1.30    
 99    31      32768  0.9     50 1.01     1.10      1.01      1.02     1.10     1.04      1.04     1.12    
100    31      32768  0.95    35 0.471    0.476     0.474     0.485    0.492    0.501     0.442    0.483   
101    31     131072  0        8 0.0425   0.0134    0.0133    0.0172   0.0165   0.00490   0.00840 -0.00392 
102    31     131072  0.05    48 0.201    0.00179   0.0197    0.0644   0.131    0.0497    0.0776   0.0440  
103    31     131072  0.1     48 0.217    0.0503    0.0285   -0.0733   0.0918   0.0324    0.0859   0.0368  
104    31     131072  0.15    55 0.319    0.145     0.0799    0.108    0.193    0.147     0.179    0.125   
105    31     131072  0.2     52 0.307    0.129     0.151     0.172    0.232    0.139     0.0650   0.167   
106    31     131072  0.25    46 0.337    0.0841    0.0120    0.117    0.217    0.176     0.0123   0.243   
107    31     131072  0.3     52 0.466    0.277     0.253     0.320    0.290    0.294     0.265    0.325   
108    31     131072  0.35    52 0.427    0.300     0.238     0.220    0.423    0.317     0.376    0.406   
109    31     131072  0.4     56 0.586    0.499     0.474     0.510    0.450    0.484     0.553    0.495   
110    31     131072  0.45    44 0.488    0.385     0.380     0.427    0.386    0.364     0.419    0.451   
111    31     131072  0.5     55 0.591    0.482     0.404     0.531    0.541    0.520     0.701    0.571   
112    31     131072  0.55    53 0.658    0.518     0.474     0.507    0.733    0.725     0.607    0.651   
113    31     131072  0.6     49 1.00     0.905     0.899     0.830    0.896    0.931     0.952    0.955   
114    31     131072  0.65    54 0.891    0.827     0.771     0.754    0.851    0.916     0.867    0.844   
115    31     131072  0.7     57 1.38     1.32      1.34      1.35     1.33     1.37      1.42     1.37    
116    31     131072  0.75    49 0.951    0.913     0.831     0.772    0.919    0.973     0.898    0.938   
117    31     131072  0.8     45 0.915    0.886     0.859     0.816    0.937    0.885     0.937    0.912   
118    31     131072  0.85    56 1.42     1.41      1.38      1.37     1.44     1.44      1.54     1.41    
119    31     131072  0.9     50 1.05     1.04      1.00      1.10     1.06     1.12      1.21     1.14    
120    31     131072  0.95    35 0.480    0.478     0.470     0.476    0.496    0.496     0.499    0.488   
