##Results for fns.txt = 118467 genomes
#Experiments performed on KNL node with 68 threads with quadruple hyperthreading enabled, with a total of 272 threads in use
#Tool	k	sketchsize	bytes_per_reg	num_threads	sketch_time	dist_time
PMH-bin-2-2500000	31	1024	2	268	4048.406865945086	383.8366761934012
PMH-bin-2-10000000	31	1024	2	268	4359.682289447635	389.42674974910915
PMH-bin-1-500000	31	1024	1	268	3659.4753597453237	470.50356540083885
PMH-bin-1-2500000	31	1024	1	268	4005.5610158257186	430.61501851677895
PMH-bin-1-10000000	31	1024	1	268	4324.1137513983995	511.93283746391535
PMH-bin-0.5-500000	31	1024	0.5	268	3651.32959093526	389.2218277361244
PMH-bin-0.5-2500000	31	1024	0.5	268	4005.51133791171	396.2521433196962
PMH-bin-0.5-10000000	31	1024	0.5	268	4350.8306579794735	416.0310171470046
PMH-bin-8-500000	31	16384	8	268	4070.264800515026	8705.305684033781
PMH-bin-8-2500000	31	16384	8	268	4403.256757874042	8847.118858488277
PMH-bin-8-500000	31	2048	8	268	3604.4837775053456	318.0298492172733
PMH-bin-8-2500000	31	2048	8	268	4009.7062395252287	295.9163673762232
PMH-bin-8-10000000	31	2048	8	268	4362.476404524408	300.3618445061147
PMH-bin-4-500000	31	2048	4	268	3675.252639981918	466.30695634987205
PMH-bin-4-2500000	31	2048	4	268	4025.115591386333	700.9233378348872
PMH-bin-4-10000000	31	2048	4	268	4346.388717944734	492.90839947387576
PMH-bin-2-500000	31	2048	2	268	3667.9601968834177	420.3387711979449
PMH-bin-2-2500000	31	2048	2	268	4028.545305548236	406.09449291508645
PMH-bin-2-10000000	31	2048	2	268	4348.81606079638	410.053556333296
PMH-bin-1-500000	31	2048	1	268	3671.961564162746	420.5576322963461
PMH-bin-1-2500000	31	2048	1	268	4023.165889730677	440.6607516882941
PMH-bin-1-10000000	31	2048	1	268	4322.132555784658	534.1003337167203
PMH-bin-0.5-500000	31	2048	0.5	268	3730.7256977129728	412.58055802155286
PMH-bin-0.5-2500000	31	2048	0.5	268	4006.7355865407735	425.396161374636
PMH-bin-0.5-10000000	31	2048	0.5	268	4361.6236502742395	434.5980624547228
PMH-bin-8-500000	31	256	8	268	3580.119492908474	210.15227598138154
PMH-bin-8-2500000	31	256	8	268	4032.3930218978785	220.1610322566703
PMH-bin-8-10000000	31	256	8	268	4321.355405676644	214.99491298291832
PMH-bin-4-500000	31	256	4	268	3662.7478821752593	360.86303030001
PMH-bin-4-2500000	31	256	4	268	4006.4257105463184	377.16720193019137
PMH-bin-4-10000000	31	256	4	268	4353.063833258115	369.8507010242902
PMH-bin-2-500000	31	256	2	268	3649.3948903284036	354.6684404569678
PMH-bin-2-2500000	31	256	2	268	3997.3947930778377	357.3092220253311
PMH-bin-2-10000000	31	256	2	268	4379.591075520497	372.2319558179006
PMH-bin-1-500000	31	256	1	268	3644.881235439796	394.2538781519979
PMH-bin-1-2500000	31	256	1	268	3985.4037187844515	409.2083282773383
PMH-bin-1-10000000	31	256	1	268	4353.692546730861	580.9302317663096
PMH-bin-0.5-500000	31	256	0.5	268	3643.6850299122743	693.7279027784243
PMH-bin-0.5-2500000	31	256	0.5	268	3989.915270025842	380.5138147762045
PMH-bin-8-500000	31	4096	8	268	3697.719643285498	885.2097798548639
PMH-bin-8-2500000	31	4096	8	268	4047.8474701102823	865.7861065668985
PMH-bin-8-10000000	31	4096	8	268	4407.118678295985	873.1136484565213
PMH-bin-4-500000	31	4096	4	268	3696.772280004807	628.4642595686018
PMH-bin-4-2500000	31	4096	4	268	4079.4389680549502	845.9997164839879
PMH-bin-4-10000000	31	4096	4	268	4420.777540508658	745.9659031415358
PMH-bin-2-500000	31	4096	2	268	3714.5681953951716	451.3624594081193
PMH-bin-2-2500000	31	4096	2	268	4086.623903387226	473.62840118072927
PMH-bin-2-10000000	31	4096	2	268	4400.524368041195	537.3759485119954
PMH-bin-1-500000	31	4096	1	268	3715.9086840916425	486.7195019479841
PMH-bin-1-2500000	31	4096	1	268	4076.745251085609	675.4111549248919
PMH-bin-1-10000000	31	4096	1	268	4465.685792832635	489.6954846289009
PMH-bin-0.5-500000	31	4096	0.5	268	3724.7208645595238	453.1846603564918
PMH-bin-0.5-2500000	31	4096	0.5	268	4077.383506433107	458.00024506263435
PMH-bin-0.5-10000000	31	4096	0.5	268	4376.219202240929	464.8034093249589
PMH-bin-8-500000	31	512	8	268	3567.802842700854	232.45160062238574
PMH-bin-8-2500000	31	512	8	268	3995.861790055409	220.85801826044917
